load_zone,timestamp,component,injects_or_withdraws,value
Chongqing,2025.02.08.16,EvChargePower,withdraws,-251.49392881578956
Chongqing,2025.02.08.20,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.02.08.20,InjectIntoDistributedGrid,injects,14927.5915382373
Chongqing,2025.02.08.20,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.02.08.20,EvDischargePower,injects,0.0
Chongqing,2025.02.08.20,zone_demand_mw,withdraws,-14927.5915382373
Chongqing,2025.02.08.20,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.02.08.20,EvChargePower,withdraws,-0.0
Chongqing,2025.03.21.00,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.03.21.00,InjectIntoDistributedGrid,injects,15040.142991936
Chongqing,2025.03.21.00,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.03.21.00,EvDischargePower,injects,0.0
Chongqing,2025.03.21.00,zone_demand_mw,withdraws,-15040.142991936
Chongqing,2025.03.21.00,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.03.21.00,EvChargePower,withdraws,-0.0
Chongqing,2025.03.21.04,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.03.21.04,InjectIntoDistributedGrid,injects,12130.2673617586
Chongqing,2025.03.21.04,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.03.21.04,EvDischargePower,injects,0.0
Chongqing,2025.03.21.04,zone_demand_mw,withdraws,-12130.2673617586
Chongqing,2025.03.21.04,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.03.21.04,EvChargePower,withdraws,-0.0
Chongqing,2025.03.21.08,ZoneTotalDistributedDispatch,injects,7.595828100000002
Chongqing,2025.03.21.08,InjectIntoDistributedGrid,injects,12570.0495259373
Chongqing,2025.03.21.08,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.03.21.08,EvDischargePower,injects,0.0
Chongqing,2025.03.21.08,zone_demand_mw,withdraws,-12577.6453540373
Chongqing,2025.03.21.08,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.03.21.08,EvChargePower,withdraws,-0.0
Chongqing,2025.03.21.12,ZoneTotalDistributedDispatch,injects,97.56845700000002
Chongqing,2025.03.21.12,InjectIntoDistributedGrid,injects,15667.892145086298
Chongqing,2025.03.21.12,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.03.21.12,EvDischargePower,injects,0.0
Chongqing,2025.03.21.12,zone_demand_mw,withdraws,-15765.4606020863
Chongqing,2025.03.21.12,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.03.21.12,EvChargePower,withdraws,-0.0
Chongqing,2025.03.21.16,ZoneTotalDistributedDispatch,injects,47.839239000000006
Chongqing,2025.03.21.16,InjectIntoDistributedGrid,injects,16795.260920648798
Chongqing,2025.03.21.16,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.03.21.16,EvDischargePower,injects,0.0
Chongqing,2025.03.21.16,zone_demand_mw,withdraws,-16843.1001596488
Chongqing,2025.03.21.16,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.03.21.16,EvChargePower,withdraws,-0.0
Chongqing,2025.03.21.20,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.03.21.20,InjectIntoDistributedGrid,injects,16078.41983020083
Chongqing,2025.03.21.20,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.03.21.20,EvDischargePower,injects,0.0
Chongqing,2025.03.21.20,zone_demand_mw,withdraws,-15409.1267491482
Chongqing,2025.03.21.20,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.03.21.20,EvChargePower,withdraws,-669.2930810526315
Chongqing,2025.04.11.00,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.04.11.00,InjectIntoDistributedGrid,injects,16148.527880088253
Chongqing,2025.04.11.00,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.04.11.00,EvDischargePower,injects,0.0
Chongqing,2025.04.11.00,zone_demand_mw,withdraws,-15541.4810916672
Chongqing,2025.04.11.00,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.04.11.00,EvChargePower,withdraws,-607.0467884210523
Chongqing,2025.04.11.04,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.04.11.04,InjectIntoDistributedGrid,injects,12534.6096071506
Chongqing,2025.04.11.04,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.04.11.04,EvDischargePower,injects,0.0
Chongqing,2025.04.11.04,zone_demand_mw,withdraws,-12534.6096071506
Chongqing,2025.04.11.04,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.04.11.04,EvChargePower,withdraws,-0.0
Chongqing,2025.04.11.08,ZoneTotalDistributedDispatch,injects,23.488924200000007
Chongqing,2025.04.11.08,InjectIntoDistributedGrid,injects,12973.411274971899
Chongqing,2025.04.11.08,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.04.11.08,EvDischargePower,injects,0.0
Chongqing,2025.04.11.08,zone_demand_mw,withdraws,-12996.9001991719
Chongqing,2025.04.11.08,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.04.11.08,EvChargePower,withdraws,-0.0
Chongqing,2025.04.11.12,ZoneTotalDistributedDispatch,injects,36.34089900000001
Chongqing,2025.04.11.12,InjectIntoDistributedGrid,injects,16254.635056489202
Chongqing,2025.04.11.12,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.04.11.12,EvDischargePower,injects,0.0
Chongqing,2025.04.11.12,zone_demand_mw,withdraws,-16290.9759554892
Chongqing,2025.04.11.12,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.04.11.12,EvChargePower,withdraws,-0.0
Chongqing,2025.04.11.16,ZoneTotalDistributedDispatch,injects,12.713956500000002
Chongqing,2025.04.11.16,InjectIntoDistributedGrid,injects,17391.8228751371
Chongqing,2025.04.11.16,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.04.11.16,EvDischargePower,injects,0.0
Chongqing,2025.04.11.16,zone_demand_mw,withdraws,-17404.5368316371
Chongqing,2025.04.11.16,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.04.11.16,EvChargePower,withdraws,-0.0
Chongqing,2025.04.11.20,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.04.11.20,InjectIntoDistributedGrid,injects,15922.764307453099
Chongqing,2025.04.11.20,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.04.11.20,EvDischargePower,injects,0.0
Chongqing,2025.04.11.20,zone_demand_mw,withdraws,-15922.7643074531
Chongqing,2025.04.11.20,StorageNetChargeforDis,withdraws,-0.0
