load_zone,timestamp,ZoneTotalDistributedDispatch,InjectIntoDistributedGrid,StorageNetDisChargeforDis,EvDischargePower,zone_demand_mw,StorageNetChargeforDis,EvChargePower
Chongqing,2025.08.19.20,0.0,23738.817542854304,0.0,0.0,-22413.2769238543,-0.0,-1325.540619
Chongqing,2025.09.20.00,0.0,17023.346378738217,0.0,284.2125263490834,-17307.5589050873,-0.0,-0.0
Chongqing,2025.09.20.04,0.0,14030.842418539401,0.0,0.0,-13958.9973985394,-0.0,-71.84502
Chongqing,2025.09.20.08,69.59553300000002,14406.0216172745,0.0,0.0,-14473.8210247745,-0.0,-1.7961255
Chongqing,2025.09.20.12,216.58171500000006,17925.641944890802,0.0,0.0,-18142.2236598908,-0.0,-0.0
Chongqing,2025.09.20.16,101.90657400000002,20379.58828910399,0.0,0.0,-19382.3255745444,-0.0,-1099.1692885595912
Chongqing,2025.09.20.20,0.0,17802.98701450743,0.0,0.0,-17732.1697692522,-0.0,-70.8172452552335
Chongqing,2025.10.26.00,0.0,16460.77931284757,0.0,0.0,-16236.5181370581,-0.0,-224.26117578947373
Chongqing,2025.10.26.04,0.0,13167.020121204601,0.0,0.0,-13095.1751012046,-0.0,-71.84502
Chongqing,2025.10.26.08,33.038985000000004,13545.1009982305,0.0,0.0,-13578.1399832305,-0.0,-0.0
Chongqing,2025.10.26.12,55.61215800000001,17075.90446731068,0.0,0.0,-17019.5314726791,-0.0,-111.98515263157894
Chongqing,2025.10.26.16,57.05437500000001,18317.812540682324,0.0,0.0,-18182.8923683139,-0.0,-191.974547368421
Chongqing,2025.10.26.20,0.0,16658.413390886377,0.0,0.0,-16634.8528782548,-0.0,-23.560512631578913
Chongqing,2025.11.19.00,0.0,17062.34892408512,0.0,0.0,-16424.5207622167,-0.0,-637.828161868421
Chongqing,2025.11.19.04,0.0,13246.8041189014,0.0,0.0,-13246.8041189014,-0.0,-0.0
Chongqing,2025.11.19.08,10.409172900000003,13726.7482033505,0.0,0.0,-13735.3612507505,-0.0,-1.7961255
Chongqing,2025.11.19.12,102.42519000000001,17114.175418366,0.0,0.0,-17216.600608366,-0.0,-0.0
Chongqing,2025.11.19.16,24.628424100000004,18368.803634396496,0.0,0.0,-18393.4320584965,-0.0,-0.0
Chongqing,2025.11.19.20,0.0,16827.4678209316,0.0,0.0,-16827.4678209316,-0.0,-0.0
Chongqing,2025.12.16.00,0.0,18287.4478020668,0.0,0.0,-18287.4478020668,-0.0,-0.0
Chongqing,2025.12.16.04,0.0,14821.148355893401,0.0,0.0,-14749.3033358934,-0.0,-71.84502
Chongqing,2025.12.16.08,8.6939916,15286.3764736579,0.0,0.0,-15293.2743397579,-0.0,-1.7961255
Chongqing,2025.12.16.12,90.35943000000002,19147.603248246924,0.0,0.0,-19169.3681363785,-0.0,-68.59454186842102
Chongqing,2025.12.16.16,28.161348600000004,20451.5186092108,0.0,0.0,-20479.6799578108,-0.0,-0.0
Chongqing,2025.12.16.20,0.0,18736.0985365343,0.0,0.0,-18736.0985365343,-0.0,-0.0
Henan,2025.01.22.00,0.0,63473.29748599075,0.0,0.0,-61296.8099787539,-0.0,-2176.4875072368422
Henan,2025.01.22.04,0.0,55079.329379801,0.0,0.0,-55079.329379801,-0.0,-0.0
Henan,2025.01.22.08,1162.8109404800002,55752.0966015827,0.0,0.0,-56914.9075420627,-0.0,-0.0
Henan,2025.01.22.12,18988.201092000007,50498.05896383868,0.0,0.0,-68697.4902883387,-0.0,-788.7697675
Henan,2025.01.22.16,4666.587543520001,63530.823363712305,0.0,0.019305,-68197.4302122323,-0.0,-0.0
Henan,2025.01.22.20,0.0,65618.8965094352,0.0,0.0,-65618.8965094352,-0.0,-0.0
Henan,2025.02.08.00,0.0,58462.36709785571,0.0,0.0,-56482.0187104873,-0.0,-1980.3483873684218
Henan,2025.02.08.04,0.0,50752.9137922399,0.0,0.0,-50752.9137922399,-0.0,-0.0
Henan,2025.02.08.08,1340.0451164800002,51104.2643640733,0.0,0.0,-52444.3094805533,-0.0,-0.0
Henan,2025.02.08.12,3513.264253520001,59788.120160683095,0.0,0.0,-63301.3844142031,-0.0,-0.0
Henan,2025.02.08.16,2102.0607843200005,60835.44584437206,0.0,0.0,-62840.603460271,-0.0,-96.90316842105283
Henan,2025.02.08.20,0.0,60607.32244138767,0.0,0.0,-60464.6105024403,-0.0,-142.71193894736825
Henan,2025.03.21.00,0.0,54367.250618836886,0.0,0.0,-52179.8818262053,-0.0,-2187.3687926315793
