SPINNING_RESERVE_GEN_TPS_1,SPINNING_RESERVE_GEN_TPS_2,CommitGenSpinningReservesUp
Beijing-Coal-2022,2025.06.16.04,0.0
Beijing-Coal-2022,2025.06.16.08,0.0
Beijing-Coal-2022,2025.06.16.12,0.0
Beijing-Coal-2022,2025.06.16.16,0.0
Beijing-Coal-2022,2025.06.16.20,0.0
Beijing-Coal-2022,2025.07.22.00,0.0
Beijing-Coal-2022,2025.07.22.04,146.29999999999995
Beijing-Coal-2022,2025.07.22.08,0.0
Beijing-Coal-2022,2025.07.22.12,0.0
Beijing-Coal-2022,2025.07.22.16,0.0
Beijing-Coal-2022,2025.07.22.20,0.0
Beijing-Coal-2022,2025.08.19.00,0.0
Beijing-Coal-2022,2025.08.19.04,0.0
Beijing-Coal-2022,2025.08.19.08,124.5609513772888
Beijing-Coal-2022,2025.08.19.12,252.21565297410626
Beijing-Coal-2022,2025.08.19.16,0.0
Beijing-Coal-2022,2025.08.19.20,0.0
Beijing-Coal-2022,2025.09.20.00,0.0
Beijing-Coal-2022,2025.09.20.04,0.0
Beijing-Coal-2022,2025.09.20.08,0.0
Beijing-Coal-2022,2025.09.20.12,0.0
Beijing-Coal-2022,2025.09.20.16,0.0
Beijing-Coal-2022,2025.09.20.20,0.0
Beijing-Coal-2022,2025.10.26.00,0.0
Beijing-Coal-2022,2025.10.26.04,0.0
Beijing-Coal-2022,2025.10.26.08,0.0
Beijing-Coal-2022,2025.10.26.12,0.0
Beijing-Coal-2022,2025.10.26.16,0.0
Beijing-Coal-2022,2025.10.26.20,0.0
Beijing-Coal-2022,2025.11.19.00,0.0
Beijing-Coal-2022,2025.11.19.04,146.29999999999995
Beijing-Coal-2022,2025.11.19.08,0.0
Beijing-Coal-2022,2025.11.19.12,0.0
Beijing-Coal-2022,2025.11.19.16,0.0
Beijing-Coal-2022,2025.11.19.20,0.0
Beijing-Coal-2022,2025.12.16.00,0.0
Beijing-Coal-2022,2025.12.16.04,146.29999999999995
Beijing-Coal-2022,2025.12.16.08,0.0
Beijing-Coal-2022,2025.12.16.12,0.0
Beijing-Coal-2022,2025.12.16.16,0.0
Beijing-Coal-2022,2025.12.16.20,0.0
Beijing-Gas-2022,2025.01.22.00,0.0
Beijing-Gas-2022,2025.01.22.04,0.0
Beijing-Gas-2022,2025.01.22.08,0.0
Beijing-Gas-2022,2025.01.22.12,0.0
Beijing-Gas-2022,2025.01.22.16,983.1057509805975
Beijing-Gas-2022,2025.01.22.20,7661.735964186628
Beijing-Gas-2022,2025.02.08.00,0.0
Beijing-Gas-2022,2025.02.08.04,0.0
