ELECRRIC_VEHICLE_TIMEPOINTS_1,ELECRRIC_VEHICLE_TIMEPOINTS_2,ChargingPower
Henan-Ev,2025.08.19.04,0.0
Henan-Ev,2025.08.19.08,0.0
Henan-Ev,2025.08.19.12,0.0
Henan-Ev,2025.08.19.16,2138.9172084210536
Henan-Ev,2025.08.19.20,0.0
Henan-Ev,2025.09.20.00,0.0
Henan-Ev,2025.09.20.04,0.0
Henan-Ev,2025.09.20.08,5.439791499999999
Henan-Ev,2025.09.20.12,788.7697675
Henan-Ev,2025.09.20.16,0.0
Henan-Ev,2025.09.20.20,684.0050494210525
Henan-Ev,2025.10.26.00,0.0
Henan-Ev,2025.10.26.04,0.0
Henan-Ev,2025.10.26.08,5.439791499999999
Henan-Ev,2025.10.26.12,788.7697675
Henan-Ev,2025.10.26.16,0.0
Henan-Ev,2025.10.26.20,1120.0896283684203
Henan-Ev,2025.11.19.00,0.0
Henan-Ev,2025.11.19.04,0.0
Henan-Ev,2025.11.19.08,0.0
Henan-Ev,2025.11.19.12,788.7697675
Henan-Ev,2025.11.19.16,0.0
Henan-Ev,2025.11.19.20,1004.8401072368415
Henan-Ev,2025.12.16.00,469.22986723684227
Henan-Ev,2025.12.16.04,0.0
Henan-Ev,2025.12.16.08,0.0
Henan-Ev,2025.12.16.12,788.7697675
Henan-Ev,2025.12.16.16,0.0
Henan-Ev,2025.12.16.20,0.0
Hubei-Ev,2025.01.22.00,192.53047578947357
Hubei-Ev,2025.01.22.04,102.93296000000001
Hubei-Ev,2025.01.22.08,0.0
Hubei-Ev,2025.01.22.12,373.13198
Hubei-Ev,2025.01.22.16,169.87063894736843
Hubei-Ev,2025.01.22.20,0.0
Hubei-Ev,2025.02.08.00,17.502770526315736
Hubei-Ev,2025.02.08.04,0.0
Hubei-Ev,2025.02.08.08,0.0
Hubei-Ev,2025.02.08.12,288.79571368421045
Hubei-Ev,2025.02.08.16,492.1612378947367
Hubei-Ev,2025.02.08.20,0.0
Hubei-Ev,2025.03.21.00,0.0
Hubei-Ev,2025.03.21.04,0.0
Hubei-Ev,2025.03.21.08,2.573324
Hubei-Ev,2025.03.21.12,373.13198
Hubei-Ev,2025.03.21.16,754.4735928421053
Hubei-Ev,2025.03.21.20,0.0
Hubei-Ev,2025.04.11.00,682.1913178947368
Hubei-Ev,2025.04.11.04,0.0
Hubei-Ev,2025.04.11.08,0.0
Hubei-Ev,2025.04.11.12,0.0
Hubei-Ev,2025.04.11.16,0.0
Hubei-Ev,2025.04.11.20,303.79808842105257
Hubei-Ev,2025.05.22.00,599.4490538947371
Hubei-Ev,2025.05.22.04,102.93296000000004
Hubei-Ev,2025.05.22.08,2.573324
Hubei-Ev,2025.05.22.12,373.13198
Hubei-Ev,2025.05.22.16,0.0
Hubei-Ev,2025.05.22.20,337.5534315789474
Hubei-Ev,2025.06.16.00,0.0
Hubei-Ev,2025.06.16.04,0.0
Hubei-Ev,2025.06.16.08,2.573324
Hubei-Ev,2025.06.16.12,128.3536505263158
Hubei-Ev,2025.06.16.16,1197.6166549473687
Hubei-Ev,2025.06.16.20,0.0
Hubei-Ev,2025.07.22.00,302.53874931932705
Hubei-Ev,2025.07.22.04,102.93296000000001
Hubei-Ev,2025.07.22.08,2.573324
Hubei-Ev,2025.07.22.12,373.13198
Hubei-Ev,2025.07.22.16,460.28464457540986
Hubei-Ev,2025.07.22.20,0.0
Hubei-Ev,2025.08.19.00,279.3983928421051
Hubei-Ev,2025.08.19.04,0.0
Hubei-Ev,2025.08.19.08,2.573324
Hubei-Ev,2025.08.19.12,373.13198
Hubei-Ev,2025.08.19.16,0.0
Hubei-Ev,2025.08.19.20,0.0
Hubei-Ev,2025.09.20.00,0.0
Hubei-Ev,2025.09.20.04,0.0
Hubei-Ev,2025.09.20.08,2.573324
Hubei-Ev,2025.09.20.12,373.13198
Hubei-Ev,2025.09.20.16,733.2202286315793
Hubei-Ev,2025.09.20.20,0.0
Hubei-Ev,2025.10.26.00,688.6449854736843
Hubei-Ev,2025.10.26.04,0.0
Hubei-Ev,2025.10.26.08,2.573324
Hubei-Ev,2025.10.26.12,373.13198
Hubei-Ev,2025.10.26.16,0.0
Hubei-Ev,2025.10.26.20,0.0
Hubei-Ev,2025.11.19.00,615.5140968421057
Hubei-Ev,2025.11.19.04,102.93296000000001
Hubei-Ev,2025.11.19.08,0.0
Hubei-Ev,2025.11.19.12,0.0
Hubei-Ev,2025.11.19.16,0.0
Hubei-Ev,2025.11.19.20,0.0
Hubei-Ev,2025.12.16.00,488.1814412631583
Hubei-Ev,2025.12.16.04,102.93296000000001
Hubei-Ev,2025.12.16.08,2.573324
Hubei-Ev,2025.12.16.12,373.13198
Hubei-Ev,2025.12.16.16,0.0
Hubei-Ev,2025.12.16.20,0.0
Hunan-Ev,2025.01.22.00,6.113532631578844
Hunan-Ev,2025.01.22.04,5.731436842105196
Hunan-Ev,2025.01.22.08,0.0
Hunan-Ev,2025.01.22.12,117.68550315789477
Hunan-Ev,2025.01.22.16,645.7418842105263
Hunan-Ev,2025.01.22.20,0.0
Hunan-Ev,2025.02.08.00,377.12854421052606
Hunan-Ev,2025.02.08.04,0.0
Hunan-Ev,2025.02.08.08,0.0
Hunan-Ev,2025.02.08.12,0.0
Hunan-Ev,2025.02.08.16,84.06107368421065
Hunan-Ev,2025.02.08.20,309.4975894736842
Hunan-Ev,2025.03.21.00,62.83565257894727
Hunan-Ev,2025.03.21.04,94.37766
Hunan-Ev,2025.03.21.08,2.3594415
Hunan-Ev,2025.03.21.12,342.11901750000004
Hunan-Ev,2025.03.21.16,0.0
Hunan-Ev,2025.03.21.20,185.69855368421054
Hunan-Ev,2025.04.11.00,881.5040433738104
Hunan-Ev,2025.04.11.04,94.37766
Hunan-Ev,2025.04.11.08,2.3594415
Hunan-Ev,2025.04.11.12,0.0
Hunan-Ev,2025.04.11.16,0.0
Hunan-Ev,2025.04.11.20,633.4388951261903
Hunan-Ev,2025.05.22.00,451.18826060526317
Hunan-Ev,2025.05.22.04,0.0
