STA_BLD_YRS_1,STA_BLD_YRS_2,BuildStation
Chongqing-Ev,2023,92110.0
Henan-Ev,2023,1.0
Hubei-Ev,2023,1.0
Hunan-Ev,2023,120998.0
Jiangxi-Ev,2023,1.0
Sichuan-Ev,2023,25088.0
Anhui-Ev,2023,1.0
Fujian-Ev,2023,1.0
Jiangsu-Ev,2023,220563.0
Shanghai-Ev,2023,332781.0
Zhejiang-Ev,2023,255067.99999999948
Beijing-Ev,2023,34922.00000000014
Hebei-Ev,2023,145695.0
Shandong-Ev,2023,831.0
Shanxi-Ev,2023,1.0
Tianjin-Ev,2023,26213.000000000022
West_Inner_Mongolia-Ev,2023,1.0
East_Inner_Mongolia-Ev,2023,2391.0
Heilongjiang-Ev,2023,4503.0
Jilin-Ev,2023,4595.0
Liaoning-Ev,2023,42707.0
Gansu-Ev,2023,13650.0
Ningxia-Ev,2023,5073.0
Qinghai-Ev,2023,2532.0
Shaanxi-Ev,2023,38980.0
Xinjiang-Ev,2023,9723.0
Guangdong-Ev,2023,1.0
Guangxi-Ev,2023,42088.00000000001
Guizhou-Ev,2023,57495.0
Hainan-Ev,2023,27172.999999999894
Yunnan-Ev,2023,34334.0
Tibet-Ev,2023,2252.0
