PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2023,EmissionsCosts,annual,73882867411.5514,50325116851.35207
2023,FuelCostsPerTP,timepoint,250486902423.0468,170618481331.4673
2023,GenVariableOMCostsInTP,timepoint,26828062196.94321,18273862564.5899
2023,LocalTDFixedCosts,annual,123323274684.66795,84001317577.81468
2023,SpinReserveCostsInTP,timepoint,7259351135.688535,4944687543.507587
2023,StaVariableOMCosts,timepoint,29293448.51145331,19953153.836141806
2023,StorageEnergyFixedCost,annual,4798819591.930362,3268703086.0241766
2023,StrFixedOMCosts,annual,662157486.741284,451026795.00285256
2023,StrVariableOMCostsInTP,timepoint,0.0,0.0
2023,TotalGenFixedCosts,annual,406964396832.7635,277202706696.06903
2023,TotalStaFixedCosts,annual,213464707.3979809,145400912.54990306
2023,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2023,TxFixedCapitalCosts,annual,45331102413.06403,30877158749.54497
2023,TxFixedOMCosts,annual,13114018883.591593,8932578767.29891
2023,VariableCost,timepoint,-4.733629907672197e-07,-3.224299307547085e-07
