load_zone,timestamp,ZoneTotalDistributedDispatch,InjectIntoDistributedGrid,StorageNetDisChargeforDis,EvDischargePower,zone_demand_mw,StorageNetChargeforDis,EvChargePower
Chongqing,2025.01.22.00,0.0,16584.15765121882,0.0,0.0,-16578.3402406925,-0.0,-5.817410526315741
Chongqing,2025.01.22.04,0.0,13442.708557775199,0.0,0.0,-13370.8635377752,-0.0,-71.84502
Chongqing,2025.01.22.08,1.0703319900000001,13862.9257894428,0.0,0.0,-13863.9961214328,-0.0,-0.0
Chongqing,2025.01.22.12,28.517559000000006,17534.895936650275,0.0,0.0,-17377.8380998608,-0.0,-185.57539578947373
Chongqing,2025.01.22.16,42.91047600000001,18729.880190508244,0.0,0.0,-18565.6908517714,-0.0,-207.0998147368422
Chongqing,2025.01.22.20,0.0,16985.0609928577,0.0,0.0,-16985.0609928577,-0.0,-0.0
Chongqing,2025.02.08.00,0.0,14747.99130675379,0.0,0.0,-14570.138523438,-0.0,-177.8527833157896
Chongqing,2025.02.08.04,0.0,11823.0415267037,0.0,0.0,-11751.1965067037,-0.0,-71.84502
Chongqing,2025.02.08.08,4.041713550000001,12182.3483486736,0.0,0.0,-12184.5939367236,-0.0,-1.7961255
Chongqing,2025.02.08.12,100.19711100000002,15433.031044771102,0.0,0.0,-15272.7899582711,-0.0,-260.4381975
Chongqing,2025.02.08.16,50.85171000000001,16265.9015696597,0.0,0.0,-16316.7532796597,-0.0,-0.0
Chongqing,2025.02.08.20,0.0,14927.5915382373,0.0,0.0,-14927.5915382373,-0.0,-0.0
Chongqing,2025.03.21.00,0.0,15040.142991936,0.0,0.0,-15040.142991936,-0.0,-0.0
Chongqing,2025.03.21.04,0.0,12130.2673617586,0.0,0.0,-12130.2673617586,-0.0,-0.0
Chongqing,2025.03.21.08,3.797914050000001,12573.8474399873,0.0,0.0,-12577.6453540373,-0.0,-0.0
Chongqing,2025.03.21.12,48.78422850000001,15716.6763735863,0.0,0.0,-15765.4606020863,-0.0,-0.0
Chongqing,2025.03.21.16,23.919619500000003,16819.1805401488,0.0,0.0,-16843.1001596488,-0.0,-0.0
