ZONE_TIMEPOINTS_1,ZONE_TIMEPOINTS_2,WithdrawFromCentralGrid
Chongqing,2025.01.22.00,17512.31008576433
Chongqing,2025.01.22.04,14195.045995538754
Chongqing,2025.01.22.08,14638.781192653432
Chongqing,2025.01.22.12,18516.257588859848
Chongqing,2025.01.22.16,19778.120581318104
Chongqing,2025.01.22.20,17935.65046764277
Chongqing,2025.02.08.00,15573.380471756906
Chongqing,2025.02.08.04,12484.732340764203
Chongqing,2025.02.08.08,12864.148203456813
Chongqing,2025.02.08.12,16296.759286981101
Chongqing,2025.02.08.16,17176.242417803274
Chongqing,2025.02.08.20,15763.032247346675
Chongqing,2025.03.21.00,15881.88277923548
Chongqing,2025.03.21.04,12809.152441138966
Chongqing,2025.03.21.08,13277.558014770117
Chongqing,2025.03.21.12,16596.279169573707
Chongqing,2025.03.21.16,17760.48631483506
Chongqing,2025.03.21.20,16978.26803611492
Chongqing,2025.04.11.00,16903.025136535143
Chongqing,2025.04.11.04,13236.12418917698
Chongqing,2025.04.11.08,13711.88567800623
Chongqing,2025.04.11.12,17183.532741276875
Chongqing,2025.04.11.16,18371.89002469599
Chongqing,2025.04.11.20,16963.175695081914
Chongqing,2025.05.22.00,16921.46596238392
Chongqing,2025.05.22.04,13176.136027802746
Chongqing,2025.05.22.08,13563.483373009083
Chongqing,2025.05.22.12,16967.657679797256
Chongqing,2025.05.22.16,18175.347024135375
Chongqing,2025.05.22.20,16717.97499171537
Chongqing,2025.06.16.00,17787.825374556192
Chongqing,2025.06.16.04,13837.76738056642
Chongqing,2025.06.16.08,14317.754161517001
Chongqing,2025.06.16.12,17896.1357986604
Chongqing,2025.06.16.16,19154.11554218501
Chongqing,2025.06.16.20,17702.56632255216
Chongqing,2025.07.22.00,18792.452953250093
Chongqing,2025.07.22.04,15796.1900506811
Chongqing,2025.07.22.08,16265.863091011088
Chongqing,2025.07.22.12,20630.86487869229
Chongqing,2025.07.22.16,21874.787218214653
Chongqing,2025.07.22.20,20568.08548803104
Chongqing,2025.08.19.00,23931.56781710826
Chongqing,2025.08.19.04,18707.36174681246
Chongqing,2025.08.19.08,19308.017924274238
Chongqing,2025.08.19.12,24463.224702911193
Chongqing,2025.08.19.16,23985.595379468006
Chongqing,2025.08.19.20,25067.389168800742
Chongqing,2025.09.20.00,18276.197365456494
Chongqing,2025.09.20.04,14816.095478922283
Chongqing,2025.09.20.08,15249.017300712248
Chongqing,2025.09.20.12,19090.52467100679
Chongqing,2025.09.20.16,20751.14030252563
Chongqing,2025.09.20.20,19258.95837666269
Chongqing,2025.10.26.00,17778.86381504496
Chongqing,2025.10.26.04,13828.062408874976
Chongqing,2025.10.26.08,14320.612978596093
Chongqing,2025.10.26.12,17942.68784971394
Chongqing,2025.10.26.16,19170.396178261773
Chongqing,2025.10.26.20,17590.721637683608
Chongqing,2025.11.19.00,17772.46580212401
Chongqing,2025.11.19.04,14064.043441289758
Chongqing,2025.11.19.08,14500.478130729145
Chongqing,2025.11.19.12,18126.069707883846
Chongqing,2025.11.19.16,19578.771526842855
Chongqing,2025.11.19.20,17769.237403306866
Chongqing,2025.12.16.00,19310.9269293208
Chongqing,2025.12.16.04,15650.631843604437
Chongqing,2025.12.16.08,16144.590648318797
Chongqing,2025.12.16.12,20268.826915255464
Chongqing,2025.12.16.16,21610.981291986067
Chongqing,2025.12.16.20,19784.686944597994
Henan,2025.01.22.00,65433.25886909844
Henan,2025.01.22.04,58391.68008426716
Henan,2025.01.22.08,59492.018863065154
Henan,2025.01.22.12,63349.69325220559
Henan,2025.01.22.16,70385.30973414515
Henan,2025.01.22.20,69813.19344886373
Henan,2025.02.08.00,59643.10317897286
Henan,2025.02.08.04,53593.361977022076
Henan,2025.02.08.08,54677.64172525163
Henan,2025.02.08.12,65633.83553167449
Henan,2025.02.08.16,65350.0277048913
Henan,2025.02.08.20,65440.06449440703
Henan,2025.03.21.00,55100.19200232873
Henan,2025.03.21.04,49511.24903952524
Henan,2025.03.21.08,50504.19708930096
Henan,2025.03.21.12,60094.41580783115
Henan,2025.03.21.16,62671.99005322944
Henan,2025.03.21.20,58985.35010066642
Henan,2025.04.11.00,53691.98746774459
Henan,2025.04.11.04,47397.36092925618
Henan,2025.04.11.08,47226.599736916374
Henan,2025.04.11.12,57083.05268557075
Henan,2025.04.11.16,57559.63274065604
Henan,2025.04.11.20,56268.577321634206
Henan,2025.05.22.00,54076.022785080466
Henan,2025.05.22.04,48590.963731414995
Henan,2025.05.22.08,44033.447359732316
Henan,2025.05.22.12,50575.44059977445
Henan,2025.05.22.16,59110.30342866098
Henan,2025.05.22.20,57888.96590223823
Henan,2025.06.16.00,62651.716573045094
Henan,2025.06.16.04,56296.804589549945
Henan,2025.06.16.08,52831.16830991193
Henan,2025.06.16.12,63832.15829641711
Henan,2025.06.16.16,69150.73351378288
Henan,2025.06.16.20,67069.33863883094
Henan,2025.07.22.00,73329.30501682634
Henan,2025.07.22.04,64972.01085567276
Henan,2025.07.22.08,64754.4177089963
Henan,2025.07.22.12,75192.76054567931
Henan,2025.07.22.16,78120.44956537614
Henan,2025.07.22.20,78007.3632139661
Henan,2025.08.19.00,66895.90515189918
Henan,2025.08.19.04,59266.2520913055
Henan,2025.08.19.08,60252.06848318892
Henan,2025.08.19.12,68803.62881893622
Henan,2025.08.19.16,71103.27421959519
Henan,2025.08.19.20,70606.99733042977
Henan,2025.09.20.00,53126.96406642503
Henan,2025.09.20.04,47793.3025358126
Henan,2025.09.20.08,47532.41779413865
Henan,2025.09.20.12,55939.47676596125
Henan,2025.09.20.16,57451.908155713
Henan,2025.09.20.20,57545.885641408866
Henan,2025.10.26.00,49364.85772989588
Henan,2025.10.26.04,44357.663304736016
Henan,2025.10.26.08,40897.41969298659
Henan,2025.10.26.12,43990.32045688637
Henan,2025.10.26.16,52905.15102620666
Henan,2025.10.26.20,54867.02580511707
Henan,2025.11.19.00,53240.820752911044
Henan,2025.11.19.04,47397.36092925618
Henan,2025.11.19.08,46223.99396411806
Henan,2025.11.19.12,49643.627822487324
Henan,2025.11.19.16,58564.188160018006
Henan,2025.11.19.20,56193.22782905376
Henan,2025.12.16.00,59811.362189881635
Henan,2025.12.16.04,53744.55407798416
Henan,2025.12.16.08,52713.2171653207
Henan,2025.12.16.12,55990.229962787016
Henan,2025.12.16.16,65030.28904734678
Henan,2025.12.16.20,64524.19950672107
Hubei,2025.01.22.00,36295.08378552352
Hubei,2025.01.22.04,32669.030639764103
Hubei,2025.01.22.08,32619.243283242875
Hubei,2025.01.22.12,37314.722827106234
Hubei,2025.01.22.16,39986.79519193116
Hubei,2025.01.22.20,37751.6376182944
Hubei,2025.02.08.00,32340.330921177476
Hubei,2025.02.08.04,28802.92526077582
Hubei,2025.02.08.08,28854.879243888176
Hubei,2025.02.08.12,34101.14602969356
Hubei,2025.02.08.16,35245.602598773396
Hubei,2025.02.08.20,33430.802534777504
Hubei,2025.03.21.00,31951.59821024141
Hubei,2025.03.21.04,27815.36461478395
Hubei,2025.03.21.08,27767.134075303275
Hubei,2025.03.21.12,32501.371134379337
Hubei,2025.03.21.16,34182.46565087371
Hubei,2025.03.21.20,32321.433342901364
Hubei,2025.04.11.00,30651.549280025043
Hubei,2025.04.11.04,27220.87682931943
Hubei,2025.04.11.08,27189.294049256812
Hubei,2025.04.11.12,31668.274440997993
Hubei,2025.04.11.16,33953.360460477095
Hubei,2025.04.11.20,31560.873601634852
Hubei,2025.05.22.00,30469.440439853435
Hubei,2025.05.22.04,27488.123285454913
Hubei,2025.05.22.08,26503.927192050127
Hubei,2025.05.22.12,30909.716461528475
Hubei,2025.05.22.16,34816.05271184057
Hubei,2025.05.22.20,31870.72885264182
Hubei,2025.06.16.00,35511.74480827538
Hubei,2025.06.16.04,30771.428526271386
Hubei,2025.06.16.08,29976.874170618517
Hubei,2025.06.16.12,34460.52841583487
Hubei,2025.06.16.16,37235.5483617673
Hubei,2025.06.16.20,35677.51223991974
Hubei,2025.07.22.00,40555.912640945375
Hubei,2025.07.22.04,35614.18641701437
Hubei,2025.07.22.08,35381.16588552112
Hubei,2025.07.22.12,40828.79752222073
Hubei,2025.07.22.16,43234.56174288712
Hubei,2025.07.22.20,41166.343035248785
Hubei,2025.08.19.00,43926.78482473114
Hubei,2025.08.19.04,39213.82215513759
Hubei,2025.08.19.08,39074.243948834104
Hubei,2025.08.19.12,45873.2495328346
Hubei,2025.08.19.16,48122.46020464405
Hubei,2025.08.19.20,45339.906690629155
Hubei,2025.09.20.00,36273.6984351891
Hubei,2025.09.20.04,32232.711385258186
Hubei,2025.09.20.08,31333.13106191239
Hubei,2025.09.20.12,36326.65639914762
Hubei,2025.09.20.16,38924.90960384411
Hubei,2025.09.20.20,37245.753221999475
Hubei,2025.10.26.00,30187.854906558667
Hubei,2025.10.26.04,26778.71908526336
Hubei,2025.10.26.08,25899.767124466034
Hubei,2025.10.26.12,30103.047003708667
Hubei,2025.10.26.16,32579.34963763394
Hubei,2025.10.26.20,30922.19639156621
Hubei,2025.11.19.00,32243.74426955439
Hubei,2025.11.19.04,28404.39406163675
Hubei,2025.11.19.08,28279.560370797255
Hubei,2025.11.19.12,31950.74104812126
Hubei,2025.11.19.16,34874.95064313915
Hubei,2025.11.19.20,32933.08648106315
Hubei,2025.12.16.00,36462.18029902133
Hubei,2025.12.16.04,32233.09828065945
Hubei,2025.12.16.08,31863.480402187684
Hubei,2025.12.16.12,36375.36088932045
Hubei,2025.12.16.16,39536.22633862872
Hubei,2025.12.16.20,37372.22525944625
Hunan,2025.01.22.00,35203.71591572765
Hunan,2025.01.22.04,27091.550419393985
Hunan,2025.01.22.08,28749.795280848783
Hunan,2025.01.22.12,34140.82211133769
Hunan,2025.01.22.16,35143.68913384239
Hunan,2025.01.22.20,36700.27016309396
Hunan,2025.02.08.00,33089.45232867733
Hunan,2025.02.08.04,25165.370724223445
Hunan,2025.02.08.08,26705.00404756304
Hunan,2025.02.08.12,32555.81296609894
Hunan,2025.02.08.16,32512.89336655196
Hunan,2025.02.08.20,34238.907257539264
Hunan,2025.03.21.00,30375.39859356035
Hunan,2025.03.21.04,22887.85986353928
Hunan,2025.03.21.08,23978.648036539496
Hunan,2025.03.21.12,29489.56896844509
Hunan,2025.03.21.16,29636.787667098208
Hunan,2025.03.21.20,31039.075286598956
Hunan,2025.04.11.00,29529.122656866
Hunan,2025.04.11.04,21793.142476967794
Hunan,2025.04.11.08,23038.062245652167
Hunan,2025.04.11.12,28882.47731770972
Hunan,2025.04.11.16,28141.51203079979
Hunan,2025.04.11.20,29233.477758249
Hunan,2025.05.22.00,27516.565139528033
Hunan,2025.05.22.04,20461.962321388175
Hunan,2025.05.22.08,21234.070637866316
Hunan,2025.05.22.12,26392.16646071436
Hunan,2025.05.22.16,26210.822171371387
Hunan,2025.05.22.20,27439.61986430581
Hunan,2025.06.16.00,32814.01245573605
Hunan,2025.06.16.04,24140.11607480359
Hunan,2025.06.16.08,24732.78651004636
Hunan,2025.06.16.12,30015.29212124604
Hunan,2025.06.16.16,30740.7033648339
Hunan,2025.06.16.20,32530.486275644038
Hunan,2025.07.22.00,34766.17120754386
Hunan,2025.07.22.04,26618.007629897573
Hunan,2025.07.22.08,28148.101853426822
Hunan,2025.07.22.12,35269.865423104755
Hunan,2025.07.22.16,34486.53342849524
Hunan,2025.07.22.20,35898.72880316573
Hunan,2025.08.19.00,39668.889639984576
Hunan,2025.08.19.04,30148.836156551428
Hunan,2025.08.19.08,32052.112004527564
Hunan,2025.08.19.12,40098.185794388846
Hunan,2025.08.19.16,41785.947986461775
Hunan,2025.08.19.20,38788.91953853981
Hunan,2025.09.20.00,35519.72873806948
Hunan,2025.09.20.04,27338.843380517003
Hunan,2025.09.20.08,28041.678933637595
Hunan,2025.09.20.12,34245.179421973146
Hunan,2025.09.20.16,34967.76008080299
Hunan,2025.09.20.20,37351.860548042576
Hunan,2025.10.26.00,29306.641517917007
Hunan,2025.10.26.04,21940.776475535273
Hunan,2025.10.26.08,22549.909479701055
Hunan,2025.10.26.12,27230.00154307793
Hunan,2025.10.26.16,28335.159596732
Hunan,2025.10.26.20,29566.723117762936
Hunan,2025.11.19.00,31844.5763778981
Hunan,2025.11.19.04,24303.222993830623
Hunan,2025.11.19.08,25741.205855155968
Hunan,2025.11.19.12,31298.965332179854
Hunan,2025.11.19.16,31704.963866744885
Hunan,2025.11.19.20,32750.284199333793
Hunan,2025.12.16.00,37521.35909168228
Hunan,2025.12.16.04,28254.669380543404
Hunan,2025.12.16.08,29787.773688633053
Hunan,2025.12.16.12,36261.03144583164
Hunan,2025.12.16.16,36954.48076535495
Hunan,2025.12.16.20,38140.49697833658
Jiangxi,2025.01.22.00,16386.32430707054
Jiangxi,2025.01.22.04,14634.516320484056
Jiangxi,2025.01.22.08,14330.853767031786
Jiangxi,2025.01.22.12,16891.1346285528
Jiangxi,2025.01.22.16,17879.440989622497
Jiangxi,2025.01.22.20,18277.78550339493
Jiangxi,2025.02.08.00,14201.595895187857
Jiangxi,2025.02.08.04,12845.307728737804
Jiangxi,2025.02.08.08,12424.702121368216
Jiangxi,2025.02.08.12,13678.086876295989
Jiangxi,2025.02.08.16,15710.165894908449
Jiangxi,2025.02.08.20,16033.23338217508
Jiangxi,2025.03.21.00,15416.033544659556
Jiangxi,2025.03.21.04,13337.009503719748
Jiangxi,2025.03.21.08,12494.59465493337
Jiangxi,2025.03.21.12,14449.553969288912
Jiangxi,2025.03.21.16,15748.183994206971
Jiangxi,2025.03.21.20,16731.20345520338
Jiangxi,2025.04.11.00,14545.887322567478
Jiangxi,2025.04.11.04,13151.38033884847
Jiangxi,2025.04.11.08,12719.540780142344
Jiangxi,2025.04.11.12,15179.47693945417
Jiangxi,2025.04.11.16,15914.64037372735
Jiangxi,2025.04.11.20,16417.199751127457
Jiangxi,2025.05.22.00,14655.52107597678
Jiangxi,2025.05.22.04,13065.455926480678
Jiangxi,2025.05.22.08,11713.798371143928
Jiangxi,2025.05.22.12,14395.379410336853
Jiangxi,2025.05.22.16,15656.941632113034
Jiangxi,2025.05.22.20,16309.392862382683
Jiangxi,2025.06.16.00,15699.876027764309
Jiangxi,2025.06.16.04,14193.685311077299
Jiangxi,2025.06.16.08,12280.372160734636
Jiangxi,2025.06.16.12,13735.749492108871
Jiangxi,2025.06.16.16,16749.83433900884
Jiangxi,2025.06.16.20,17724.750283591766
Jiangxi,2025.07.22.00,17509.31105034748
Jiangxi,2025.07.22.04,15755.272646112462
Jiangxi,2025.07.22.08,15029.560069457024
Jiangxi,2025.07.22.12,16711.44566486885
Jiangxi,2025.07.22.16,18838.00379720923
Jiangxi,2025.07.22.20,19726.185669888386
Jiangxi,2025.08.19.00,20635.564632897782
Jiangxi,2025.08.19.04,18044.18940396019
Jiangxi,2025.08.19.08,17158.404044597257
Jiangxi,2025.08.19.12,19567.583953831578
Jiangxi,2025.08.19.16,21619.672208455548
Jiangxi,2025.08.19.20,22636.33418103823
Jiangxi,2025.09.20.00,17557.67543256283
Jiangxi,2025.09.20.04,15518.750116396412
Jiangxi,2025.09.20.08,13585.07857103527
Jiangxi,2025.09.20.12,15190.808832903698
Jiangxi,2025.09.20.16,18214.082931772755
Jiangxi,2025.09.20.20,19468.184790261457
Jiangxi,2025.10.26.00,16438.80228348015
Jiangxi,2025.10.26.04,14793.993239744455
Jiangxi,2025.10.26.08,13285.449353360404
Jiangxi,2025.10.26.12,14328.210239319433
Jiangxi,2025.10.26.16,17848.580471894827
Jiangxi,2025.10.26.20,18734.530234581838
Jiangxi,2025.11.19.00,16185.19699838131
Jiangxi,2025.11.19.04,14309.496533159874
Jiangxi,2025.11.19.08,14069.430370196726
Jiangxi,2025.11.19.12,16530.35616793664
Jiangxi,2025.11.19.16,17676.353125175294
Jiangxi,2025.11.19.20,18082.138285905177
Jiangxi,2025.12.16.00,17890.933734145376
Jiangxi,2025.12.16.04,15914.750847142557
Jiangxi,2025.12.16.08,14636.420801248258
Jiangxi,2025.12.16.12,15549.234371506078
Jiangxi,2025.12.16.16,19421.48884025805
Jiangxi,2025.12.16.20,20185.948133888596
Sichuan,2025.01.22.00,36851.68263446463
Sichuan,2025.01.22.04,30938.91344029789
Sichuan,2025.01.22.08,32096.767834969272
Sichuan,2025.01.22.12,45478.22768310084
Sichuan,2025.01.22.16,46571.10856354542
Sichuan,2025.01.22.20,44495.75672117889
Sichuan,2025.02.08.00,31932.894060997787
Sichuan,2025.02.08.04,26847.813414694723
Sichuan,2025.02.08.08,27849.91487231732
Sichuan,2025.02.08.12,39515.6063877754
Sichuan,2025.02.08.16,42141.12835810605
Sichuan,2025.02.08.20,36419.39527265058
Sichuan,2025.03.21.00,30698.970866880576
Sichuan,2025.03.21.04,25821.53578840845
Sichuan,2025.03.21.08,26752.44435078828
Sichuan,2025.03.21.12,37882.18055604499
Sichuan,2025.03.21.16,38161.55636817466
Sichuan,2025.03.21.20,38283.267308510665
Sichuan,2025.04.11.00,33256.18360351531
Sichuan,2025.04.11.04,27660.138580811617
Sichuan,2025.04.11.08,28646.481066305074
Sichuan,2025.04.11.12,40731.825465020906
Sichuan,2025.04.11.16,43043.376784322456
Sichuan,2025.04.11.20,38011.20486941711
Sichuan,2025.05.22.00,32498.926929413836
Sichuan,2025.05.22.04,27030.306102238228
Sichuan,2025.05.22.08,27993.55699199293
Sichuan,2025.05.22.12,39792.85673816083
Sichuan,2025.05.22.16,42069.608804559066
Sichuan,2025.05.22.20,37145.674448934325
Sichuan,2025.06.16.00,37499.56298318042
Sichuan,2025.06.16.04,30250.35671044794
Sichuan,2025.06.16.08,31173.424969236115
Sichuan,2025.06.16.12,44351.40543350339
Sichuan,2025.06.16.16,45294.525489000116
Sichuan,2025.06.16.20,41708.589896159654
Sichuan,2025.07.22.00,36704.80359134018
Sichuan,2025.07.22.04,29410.58147486695
Sichuan,2025.07.22.08,30282.33361843305
Sichuan,2025.07.22.12,43572.70338516991
Sichuan,2025.07.22.16,44148.717067842765
Sichuan,2025.07.22.20,39697.334566838545
Sichuan,2025.08.19.00,40660.81207193614
Sichuan,2025.08.19.04,33740.678691703695
Sichuan,2025.08.19.08,34801.701695259566
Sichuan,2025.08.19.12,49574.564375848866
Sichuan,2025.08.19.16,50565.25564208058
Sichuan,2025.08.19.20,46259.745374100625
Sichuan,2025.09.20.00,39613.98256288796
Sichuan,2025.09.20.04,33097.72415217149
Sichuan,2025.09.20.08,34114.04196411331
Sichuan,2025.09.20.12,48437.348477031475
Sichuan,2025.09.20.16,49827.70846404543
Sichuan,2025.09.20.20,45840.07570958174
Sichuan,2025.10.26.00,33603.26052551901
Sichuan,2025.10.26.04,27948.81258728437
Sichuan,2025.10.26.08,28930.910837110456
Sichuan,2025.10.26.12,41140.99646939114
Sichuan,2025.10.26.16,43930.08996266527
Sichuan,2025.10.26.20,38407.907393826295
Sichuan,2025.11.19.00,37547.871479951995
Sichuan,2025.11.19.04,29829.560379488703
Sichuan,2025.11.19.08,30910.968188320276
Sichuan,2025.11.19.12,43924.23107662756
Sichuan,2025.11.19.16,44886.24321906907
Sichuan,2025.11.19.20,40992.474691937176
Sichuan,2025.12.16.00,37339.701393028015
Sichuan,2025.12.16.04,30329.085383861984
Sichuan,2025.12.16.08,31284.989176652693
Sichuan,2025.12.16.12,44433.94008637825
Sichuan,2025.12.16.16,45923.94806987383
Sichuan,2025.12.16.20,41473.32419130211
Anhui,2025.01.22.00,29358.109552289672
Anhui,2025.01.22.04,24225.531869845017
Anhui,2025.01.22.08,25105.173858776874
Anhui,2025.01.22.12,28287.673748092606
Anhui,2025.01.22.16,29951.325252525454
Anhui,2025.01.22.20,32405.425773428957
Anhui,2025.02.08.00,25136.75572893432
Anhui,2025.02.08.04,21669.798550887328
Anhui,2025.02.08.08,22319.777904808972
Anhui,2025.02.08.12,25971.053492624604
Anhui,2025.02.08.16,26794.669556182365
Anhui,2025.02.08.20,28708.278706186484
Anhui,2025.03.21.00,23772.599282477404
Anhui,2025.03.21.04,20387.257016613832
Anhui,2025.03.21.08,20591.979094324604
Anhui,2025.03.21.12,22769.866539841136
Anhui,2025.03.21.16,25575.874633078573
Anhui,2025.03.21.20,27878.633902678474
Anhui,2025.04.11.00,23308.737459612188
Anhui,2025.04.11.04,19877.597276332523
Anhui,2025.04.11.08,20156.42412217466
Anhui,2025.04.11.12,23488.38298650771
Anhui,2025.04.11.16,24343.1447030575
Anhui,2025.04.11.20,26321.552604434215
Anhui,2025.05.22.00,23534.611831088605
Anhui,2025.05.22.04,19929.115813810353
Anhui,2025.05.22.08,17757.296407694932
Anhui,2025.05.22.12,18617.53609956906
Anhui,2025.05.22.16,23072.493791383524
Anhui,2025.05.22.20,26540.162836597152
Anhui,2025.06.16.00,26456.07531382617
Anhui,2025.06.16.04,22363.01076526874
Anhui,2025.06.16.08,19078.901884815736
Anhui,2025.06.16.12,21128.00252886051
Anhui,2025.06.16.16,25630.560492189546
Anhui,2025.06.16.20,29631.44939555491
Anhui,2025.07.22.00,30583.838665944353
Anhui,2025.07.22.04,26341.198077686906
Anhui,2025.07.22.08,25101.98942324604
