SPINNING_RESERVE_GEN_TPS_1,SPINNING_RESERVE_GEN_TPS_2,CommitGenSpinningReservesUp
Anhui-Coal-2022,2025.01.22.00,6233.7139658009255
Anhui-Coal-2022,2025.01.22.04,7516.253673164087
Anhui-Coal-2022,2025.01.22.08,0.0
Anhui-Coal-2022,2025.01.22.12,0.0
Anhui-Coal-2022,2025.01.22.16,0.0
Anhui-Coal-2022,2025.01.22.20,2577.1144749656087
Anhui-Coal-2022,2025.02.08.00,14878.03001542477
Anhui-Coal-2022,2025.02.08.04,18124.984177528862
Anhui-Coal-2022,2025.02.08.08,0.0
Anhui-Coal-2022,2025.02.08.12,21824.127246382253
Anhui-Coal-2022,2025.02.08.16,11814.381145823805
Anhui-Coal-2022,2025.02.08.20,0.0
Anhui-Coal-2022,2025.03.21.00,0.0
Anhui-Coal-2022,2025.03.21.04,0.0
Anhui-Coal-2022,2025.03.21.08,0.0
Anhui-Coal-2022,2025.03.21.12,0.0
Anhui-Coal-2022,2025.03.21.16,5221.132899436123
Anhui-Coal-2022,2025.03.21.20,7536.766433920606
Anhui-Coal-2022,2025.04.11.00,0.0
Anhui-Coal-2022,2025.04.11.04,0.0
Anhui-Coal-2022,2025.04.11.08,12314.563657268101
Anhui-Coal-2022,2025.04.11.12,0.0
Anhui-Coal-2022,2025.04.11.16,11641.0261001131
Anhui-Coal-2022,2025.04.11.20,10179.44447590306
Anhui-Coal-2022,2025.05.22.00,11753.45756960068
Anhui-Coal-2022,2025.05.22.04,18395.465003130004
Anhui-Coal-2022,2025.05.22.08,7366.826439919748
Anhui-Coal-2022,2025.05.22.12,0.0
Anhui-Coal-2022,2025.05.22.16,23267.478671710433
Anhui-Coal-2022,2025.05.22.20,0.0
Anhui-Coal-2022,2025.06.16.00,17353.216090587575
Anhui-Coal-2022,2025.06.16.04,14889.08253592319
Anhui-Coal-2022,2025.06.16.08,18238.948172650627
Anhui-Coal-2022,2025.06.16.12,27211.335063333536
Anhui-Coal-2022,2025.06.16.16,17447.085806011615
Anhui-Coal-2022,2025.06.16.20,0.0
Anhui-Coal-2022,2025.07.22.00,2893.1597434960822
Anhui-Coal-2022,2025.07.22.04,23705.796637622476
Anhui-Coal-2022,2025.07.22.08,19624.065401927208
Anhui-Coal-2022,2025.07.22.12,0.0
Anhui-Coal-2022,2025.07.22.16,0.0
Anhui-Coal-2022,2025.07.22.20,0.0
Anhui-Coal-2022,2025.08.19.00,0.0
Anhui-Coal-2022,2025.08.19.04,12675.951209557275
