GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
Anhui-Coal-2022,2025.01.22.00,Coal,355718.27825119864
Anhui-Coal-2022,2025.01.22.04,Coal,286497.9166046337
Anhui-Coal-2022,2025.01.22.08,Coal,329894.8550381364
Anhui-Coal-2022,2025.01.22.12,Coal,311768.6488440673
Anhui-Coal-2022,2025.01.22.16,Coal,380087.95713890216
Anhui-Coal-2022,2025.01.22.20,Coal,384715.1122135227
Anhui-Coal-2022,2025.02.08.00,Coal,240541.7202379193
Anhui-Coal-2022,2025.02.08.04,Coal,162947.6169353647
Anhui-Coal-2022,2025.02.08.08,Coal,157255.80078173403
Anhui-Coal-2022,2025.02.08.12,Coal,230433.26151361718
Anhui-Coal-2022,2025.02.08.16,Coal,311463.58751361724
Anhui-Coal-2022,2025.02.08.20,Coal,321572.0462379193
Anhui-Coal-2022,2025.03.21.00,Coal,276153.12588195666
Anhui-Coal-2022,2025.03.21.04,Coal,230127.60490163055
Anhui-Coal-2022,2025.03.21.08,Coal,246431.60556934495
Anhui-Coal-2022,2025.03.21.12,Coal,262105.27487858065
Anhui-Coal-2022,2025.03.21.16,Coal,325029.5404083138
Anhui-Coal-2022,2025.03.21.20,Coal,323025.3348385241
Anhui-Coal-2022,2025.04.11.00,Coal,265340.825383185
Anhui-Coal-2022,2025.04.11.04,Coal,217984.04843333186
Anhui-Coal-2022,2025.04.11.08,Coal,202866.0584481614
Anhui-Coal-2022,2025.04.11.12,Coal,244695.26741916902
Anhui-Coal-2022,2025.04.11.16,Coal,312838.2930261031
Anhui-Coal-2022,2025.04.11.20,Coal,306702.90521993546
Anhui-Coal-2022,2025.05.22.00,Coal,159358.5362776695
Anhui-Coal-2022,2025.05.22.04,Coal,107952.55683325998
Anhui-Coal-2022,2025.05.22.08,Coal,73129.15140317613
Anhui-Coal-2022,2025.05.22.12,Coal,139610.19813333626
Anhui-Coal-2022,2025.05.22.16,Coal,220640.52413333626
Anhui-Coal-2022,2025.05.22.20,Coal,235243.55355275024
Anhui-Coal-2022,2025.06.16.00,Coal,228233.33252506374
Anhui-Coal-2022,2025.06.16.04,Coal,154609.67687181736
Anhui-Coal-2022,2025.06.16.08,Coal,104735.5875583279
Anhui-Coal-2022,2025.06.16.12,Coal,185765.9135583279
Anhui-Coal-2022,2025.06.16.16,Coal,266796.2395583279
Anhui-Coal-2022,2025.06.16.20,Coal,309263.6585250638
Anhui-Coal-2022,2025.07.22.00,Coal,272044.41282543086
Anhui-Coal-2022,2025.07.22.04,Coal,191014.0868254309
Anhui-Coal-2022,2025.07.22.08,Coal,235181.11019426878
Anhui-Coal-2022,2025.07.22.12,Coal,259638.60125016814
Anhui-Coal-2022,2025.07.22.16,Coal,298906.3233202794
Anhui-Coal-2022,2025.07.22.20,Coal,338427.350376025
Anhui-Coal-2022,2025.08.19.00,Coal,299979.758798154
Anhui-Coal-2022,2025.08.19.04,Coal,233229.75014983013
Anhui-Coal-2022,2025.08.19.08,Coal,263156.0914437094
Anhui-Coal-2022,2025.08.19.12,Coal,286299.46631705906
Anhui-Coal-2022,2025.08.19.16,Coal,367329.7923170591
Anhui-Coal-2022,2025.08.19.20,Coal,359975.7105577848
Anhui-Coal-2022,2025.09.20.00,Coal,221626.37090602177
Anhui-Coal-2022,2025.09.20.04,Coal,153062.18166796636
Anhui-Coal-2022,2025.09.20.08,Coal,127551.81805663863
Anhui-Coal-2022,2025.09.20.12,Coal,203886.15779724286
