ELECRRIC_VEHICLE_TIMEPOINTS_1,ELECRRIC_VEHICLE_TIMEPOINTS_2,ChargingPower
Chongqing-Ev,2025.01.22.00,5.817410526315741
Chongqing-Ev,2025.01.22.04,71.84502
Chongqing-Ev,2025.01.22.08,0.0
Chongqing-Ev,2025.01.22.12,185.57539578947373
Chongqing-Ev,2025.01.22.16,207.0998147368422
Chongqing-Ev,2025.01.22.20,0.0
Chongqing-Ev,2025.02.08.00,177.8527833157896
Chongqing-Ev,2025.02.08.04,71.84502
Chongqing-Ev,2025.02.08.08,1.7961255
Chongqing-Ev,2025.02.08.12,260.4381975
Chongqing-Ev,2025.02.08.16,0.0
Chongqing-Ev,2025.02.08.20,0.0
Chongqing-Ev,2025.03.21.00,0.0
Chongqing-Ev,2025.03.21.04,0.0
Chongqing-Ev,2025.03.21.08,0.0
Chongqing-Ev,2025.03.21.12,0.0
Chongqing-Ev,2025.03.21.16,0.0
Chongqing-Ev,2025.03.21.20,669.2930810526315
Chongqing-Ev,2025.04.11.00,465.6837126315786
Chongqing-Ev,2025.04.11.04,0.0
Chongqing-Ev,2025.04.11.08,0.0
Chongqing-Ev,2025.04.11.12,0.0
Chongqing-Ev,2025.04.11.16,0.0
Chongqing-Ev,2025.04.11.20,141.36307578947373
Chongqing-Ev,2025.05.22.00,642.6631708070721
Chongqing-Ev,2025.05.22.04,71.84502
Chongqing-Ev,2025.05.22.08,0.0
Chongqing-Ev,2025.05.22.12,0.0
Chongqing-Ev,2025.05.22.16,0.0
Chongqing-Ev,2025.05.22.20,72.58745340345467
Chongqing-Ev,2025.06.16.00,597.1571905263157
Chongqing-Ev,2025.06.16.04,0.0
Chongqing-Ev,2025.06.16.08,0.0
Chongqing-Ev,2025.06.16.12,0.0
Chongqing-Ev,2025.06.16.16,0.0
Chongqing-Ev,2025.06.16.20,117.80256315789468
Chongqing-Ev,2025.07.22.00,0.0
Chongqing-Ev,2025.07.22.04,71.84502
Chongqing-Ev,2025.07.22.08,1.7961255
Chongqing-Ev,2025.07.22.12,260.4381975
Chongqing-Ev,2025.07.22.16,89.08530892176964
Chongqing-Ev,2025.07.22.20,566.7751206641901
Chongqing-Ev,2025.08.19.00,786.6214853684213
Chongqing-Ev,2025.08.19.04,71.84502
Chongqing-Ev,2025.08.19.08,1.7961255
Chongqing-Ev,2025.08.19.12,260.4381975
Chongqing-Ev,2025.08.19.16,0.0
Chongqing-Ev,2025.08.19.20,1325.540619
Chongqing-Ev,2025.09.20.00,0.0
Chongqing-Ev,2025.09.20.04,71.84502
Chongqing-Ev,2025.09.20.08,1.7961255
Chongqing-Ev,2025.09.20.12,44.794061052631555
Chongqing-Ev,2025.09.20.16,319.9575789473684
Chongqing-Ev,2025.09.20.20,506.06381344736815
Chongqing-Ev,2025.10.26.00,600.0658957894735
Chongqing-Ev,2025.10.26.04,0.0
Chongqing-Ev,2025.10.26.08,0.0
Chongqing-Ev,2025.10.26.12,0.0
Chongqing-Ev,2025.10.26.16,0.0
Chongqing-Ev,2025.10.26.20,23.560512631578913
Chongqing-Ev,2025.11.19.00,406.004352394737
Chongqing-Ev,2025.11.19.04,71.84502
Chongqing-Ev,2025.11.19.08,1.7961255
Chongqing-Ev,2025.11.19.12,0.0
Chongqing-Ev,2025.11.19.16,159.97878947368426
Chongqing-Ev,2025.11.19.20,0.0
Chongqing-Ev,2025.12.16.00,0.0
Chongqing-Ev,2025.12.16.04,71.84502
Chongqing-Ev,2025.12.16.08,0.0
Chongqing-Ev,2025.12.16.12,70.39066736842103
Chongqing-Ev,2025.12.16.16,0.0
Chongqing-Ev,2025.12.16.20,0.0
Henan-Ev,2025.01.22.00,668.4861702823118
Henan-Ev,2025.01.22.04,217.59166
Henan-Ev,2025.01.22.08,5.439791499999999
Henan-Ev,2025.01.22.12,788.7697675
Henan-Ev,2025.01.22.16,790.751877763158
Henan-Ev,2025.01.22.20,494.1976866387413
Henan-Ev,2025.02.08.00,0.0
Henan-Ev,2025.02.08.04,0.0
Henan-Ev,2025.02.08.08,5.439791499999999
Henan-Ev,2025.02.08.12,610.4899610526315
Henan-Ev,2025.02.08.16,96.90316842105283
Henan-Ev,2025.02.08.20,1507.1305737631571
Henan-Ev,2025.03.21.00,0.0
Henan-Ev,2025.03.21.04,0.0
Henan-Ev,2025.03.21.08,0.0
Henan-Ev,2025.03.21.12,0.0
Henan-Ev,2025.03.21.16,2187.3687926315783
Henan-Ev,2025.03.21.20,0.0
Henan-Ev,2025.04.11.00,1136.409884210526
Henan-Ev,2025.04.11.04,217.59166
Henan-Ev,2025.04.11.08,0.0
Henan-Ev,2025.04.11.12,788.7697675000002
Henan-Ev,2025.04.11.16,63.97811460526291
Henan-Ev,2025.04.11.20,71.35596947368437
Henan-Ev,2025.05.22.00,0.0
Henan-Ev,2025.05.22.04,0.0
Henan-Ev,2025.05.22.08,0.0
Henan-Ev,2025.05.22.12,0.0
Henan-Ev,2025.05.22.16,2205.8684884210525
Henan-Ev,2025.05.22.20,0.0
Henan-Ev,2025.06.16.00,0.0
Henan-Ev,2025.06.16.04,0.0
Henan-Ev,2025.06.16.08,0.0
Henan-Ev,2025.06.16.12,788.7697675000002
Henan-Ev,2025.06.16.16,1472.597808289474
Henan-Ev,2025.06.16.20,0.0
Henan-Ev,2025.07.22.00,968.8804963947366
Henan-Ev,2025.07.22.04,0.0
Henan-Ev,2025.07.22.08,5.439791499999999
Henan-Ev,2025.07.22.12,0.0
Henan-Ev,2025.07.22.16,0.0
Henan-Ev,2025.07.22.20,570.8477557894739
Henan-Ev,2025.08.19.00,889.7472736842112
Henan-Ev,2025.08.19.04,0.0
Henan-Ev,2025.08.19.08,0.0
Henan-Ev,2025.08.19.12,0.0
Henan-Ev,2025.08.19.16,1249.1699347368424
Henan-Ev,2025.08.19.20,0.0
Henan-Ev,2025.09.20.00,0.0
Henan-Ev,2025.09.20.04,52.210240431431885
Henan-Ev,2025.09.20.08,0.0
Henan-Ev,2025.09.20.12,788.7697675
Henan-Ev,2025.09.20.16,0.0
Henan-Ev,2025.09.20.20,637.2337794369896
Henan-Ev,2025.10.26.00,0.0
Henan-Ev,2025.10.26.04,0.0
Henan-Ev,2025.10.26.08,0.0
Henan-Ev,2025.10.26.12,0.0
Henan-Ev,2025.10.26.16,0.0
Henan-Ev,2025.10.26.20,1914.2780452631578
Henan-Ev,2025.11.19.00,709.1550052631574
Henan-Ev,2025.11.19.04,217.59166
Henan-Ev,2025.11.19.08,0.0
Henan-Ev,2025.11.19.12,0.0
Henan-Ev,2025.11.19.16,866.8428884210525
Henan-Ev,2025.11.19.20,0.0
Henan-Ev,2025.12.16.00,0.0
Henan-Ev,2025.12.16.04,0.0
Henan-Ev,2025.12.16.08,0.0
Henan-Ev,2025.12.16.12,788.7697675
