ELECRRIC_VEHICLE,timepoint_id,ev_max_power_mw,ev_driving_power
Henan-Ev,2025.04.11.04,217.59166,20.085384
Henan-Ev,2025.04.11.08,5.439791499999999,1242.7831350000001
Henan-Ev,2025.04.11.12,788.7697675,257.762428
Henan-Ev,2025.04.11.16,5385.393585,552.3480599999999
Henan-Ev,2025.04.11.20,4014.566127,67.788171
Henan-Ev,2025.05.22.00,2970.126159,26.780511999999998
Henan-Ev,2025.05.22.04,217.59166,7.532019
Henan-Ev,2025.05.22.08,5.439791499999999,414.261045
Henan-Ev,2025.05.22.12,788.7697675,644.40607
Henan-Ev,2025.05.22.16,5385.393585,460.29005
Henan-Ev,2025.05.22.20,4014.566127,542.305368
Henan-Ev,2025.06.16.00,2970.126159,10.042691999999999
Henan-Ev,2025.06.16.04,217.59166,17.574711000000004
Henan-Ev,2025.06.16.08,5.439791499999999,966.6091050000001
Henan-Ev,2025.06.16.12,788.7697675,257.762428
Henan-Ev,2025.06.16.16,5385.393585,828.5220899999999
Henan-Ev,2025.06.16.20,4014.566127,67.788171
Henan-Ev,2025.07.22.00,2970.126159,0.0
Henan-Ev,2025.07.22.04,217.59166,5.021346
Henan-Ev,2025.07.22.08,5.439791499999999,552.34806
Henan-Ev,2025.07.22.12,788.7697675,0.0
Henan-Ev,2025.07.22.16,5385.393585,368.23204
Henan-Ev,2025.07.22.20,4014.566127,542.305368
Henan-Ev,2025.08.19.00,2970.126159,3.3475639999999998
Henan-Ev,2025.08.19.04,217.59166,22.596057000000002
Henan-Ev,2025.08.19.08,5.439791499999999,690.4350750000001
Henan-Ev,2025.08.19.12,788.7697675,128.881214
Henan-Ev,2025.08.19.16,5385.393585,644.40607
Henan-Ev,2025.08.19.20,4014.566127,542.305368
Henan-Ev,2025.09.20.00,2970.126159,20.085383999999998
Henan-Ev,2025.09.20.04,217.59166,0.0
Henan-Ev,2025.09.20.08,5.439791499999999,276.17403
Henan-Ev,2025.09.20.12,788.7697675,579.965463
Henan-Ev,2025.09.20.16,5385.393585,460.29005
Henan-Ev,2025.09.20.20,4014.566127,67.788171
Henan-Ev,2025.10.26.00,2970.126159,10.042691999999999
Henan-Ev,2025.10.26.04,217.59166,25.106730000000002
Henan-Ev,2025.10.26.08,5.439791499999999,966.6091050000001
Henan-Ev,2025.10.26.12,788.7697675,128.881214
Henan-Ev,2025.10.26.16,5385.393585,552.3480599999999
Henan-Ev,2025.10.26.20,4014.566127,135.576342
Henan-Ev,2025.11.19.00,2970.126159,26.780511999999998
Henan-Ev,2025.11.19.04,217.59166,25.106730000000002
Henan-Ev,2025.11.19.08,5.439791499999999,828.52209
Henan-Ev,2025.11.19.12,788.7697675,0.0
Henan-Ev,2025.11.19.16,5385.393585,552.3480599999999
Henan-Ev,2025.11.19.20,4014.566127,271.152684
Henan-Ev,2025.12.16.00,2970.126159,33.47564
Henan-Ev,2025.12.16.04,217.59166,22.596057000000002
Henan-Ev,2025.12.16.08,5.439791499999999,690.4350750000001
Henan-Ev,2025.12.16.12,788.7697675,128.881214
Henan-Ev,2025.12.16.16,5385.393585,184.11602
Henan-Ev,2025.12.16.20,4014.566127,135.576342
Hubei-Ev,2025.01.22.00,1405.034904,15.835840000000001
Hubei-Ev,2025.01.22.04,102.93296000000001,3.5630640000000002
Hubei-Ev,2025.01.22.08,2.573324,261.29136
Hubei-Ev,2025.01.22.12,373.13198,213.38794399999998
Hubei-Ev,2025.01.22.16,2547.5907599999996,174.19423999999998
Hubei-Ev,2025.01.22.20,1899.1131120000002,128.270304
Hubei-Ev,2025.02.08.00,1405.034904,4.750752
Hubei-Ev,2025.02.08.04,102.93296000000001,11.876880000000002
Hubei-Ev,2025.02.08.08,2.573324,0.0
Hubei-Ev,2025.02.08.12,373.13198,274.35592799999995
Hubei-Ev,2025.02.08.16,2547.5907599999996,435.4856
Hubei-Ev,2025.02.08.20,1899.1131120000002,32.067576
Hubei-Ev,2025.03.21.00,1405.034904,14.252256000000001
Hubei-Ev,2025.03.21.04,102.93296000000001,2.375376
Hubei-Ev,2025.03.21.08,2.573324,522.58272
Hubei-Ev,2025.03.21.12,373.13198,121.93596799999999
Hubei-Ev,2025.03.21.16,2547.5907599999996,348.38847999999996
Hubei-Ev,2025.03.21.20,1899.1131120000002,64.135152
Hubei-Ev,2025.04.11.00,1405.034904,15.835840000000001
Hubei-Ev,2025.04.11.04,102.93296000000001,9.501504
Hubei-Ev,2025.04.11.08,2.573324,130.64568
Hubei-Ev,2025.04.11.12,373.13198,274.35592799999995
Hubei-Ev,2025.04.11.16,2547.5907599999996,217.7428
Hubei-Ev,2025.04.11.20,1899.1131120000002,288.608184
Hubei-Ev,2025.05.22.00,1405.034904,11.085087999999999
Hubei-Ev,2025.05.22.04,102.93296000000001,7.1261280000000005
Hubei-Ev,2025.05.22.08,2.573324,587.90556
Hubei-Ev,2025.05.22.12,373.13198,243.87193599999998
Hubei-Ev,2025.05.22.16,2547.5907599999996,174.19423999999998
Hubei-Ev,2025.05.22.20,1899.1131120000002,320.67576
Hubei-Ev,2025.06.16.00,1405.034904,0.0
Hubei-Ev,2025.06.16.04,102.93296000000001,1.187688
Hubei-Ev,2025.06.16.08,2.573324,522.58272
Hubei-Ev,2025.06.16.12,373.13198,121.93596799999999
Hubei-Ev,2025.06.16.16,2547.5907599999996,391.93703999999997
Hubei-Ev,2025.06.16.20,1899.1131120000002,224.47303200000002
Hubei-Ev,2025.07.22.00,1405.034904,15.835840000000001
Hubei-Ev,2025.07.22.04,102.93296000000001,2.375376
Hubei-Ev,2025.07.22.08,2.573324,522.58272
Hubei-Ev,2025.07.22.12,373.13198,274.35592799999995
Hubei-Ev,2025.07.22.16,2547.5907599999996,43.548559999999995
Hubei-Ev,2025.07.22.20,1899.1131120000002,320.67576
Hubei-Ev,2025.08.19.00,1405.034904,6.334336
Hubei-Ev,2025.08.19.04,102.93296000000001,0.0
Hubei-Ev,2025.08.19.08,2.573324,130.64568
Hubei-Ev,2025.08.19.12,373.13198,182.903952
Hubei-Ev,2025.08.19.16,2547.5907599999996,174.19423999999998
Hubei-Ev,2025.08.19.20,1899.1131120000002,128.270304
Hubei-Ev,2025.09.20.00,1405.034904,1.583584
Hubei-Ev,2025.09.20.04,102.93296000000001,7.1261280000000005
Hubei-Ev,2025.09.20.08,2.573324,195.96852
Hubei-Ev,2025.09.20.12,373.13198,243.87193599999998
Hubei-Ev,2025.09.20.16,2547.5907599999996,348.38847999999996
Hubei-Ev,2025.09.20.20,1899.1131120000002,256.540608
Hubei-Ev,2025.10.26.00,1405.034904,4.750752
Hubei-Ev,2025.10.26.04,102.93296000000001,4.750752
Hubei-Ev,2025.10.26.08,2.573324,653.2284000000001
Hubei-Ev,2025.10.26.12,373.13198,304.83992
Hubei-Ev,2025.10.26.16,2547.5907599999996,43.548559999999995
Hubei-Ev,2025.10.26.20,1899.1131120000002,0.0
Hubei-Ev,2025.11.19.00,1405.034904,0.0
Hubei-Ev,2025.11.19.04,102.93296000000001,11.876880000000002
Hubei-Ev,2025.11.19.08,2.573324,326.61420000000004
Hubei-Ev,2025.11.19.12,373.13198,213.38794399999998
Hubei-Ev,2025.11.19.16,2547.5907599999996,130.64568
Hubei-Ev,2025.11.19.20,1899.1131120000002,0.0
Hubei-Ev,2025.12.16.00,1405.034904,6.334336
Hubei-Ev,2025.12.16.04,102.93296000000001,0.0
Hubei-Ev,2025.12.16.08,2.573324,653.2284000000001
Hubei-Ev,2025.12.16.12,373.13198,0.0
Hubei-Ev,2025.12.16.16,2547.5907599999996,130.64568
Hubei-Ev,2025.12.16.20,1899.1131120000002,128.270304
Hunan-Ev,2025.01.22.00,1288.255059,5.807856
Hunan-Ev,2025.01.22.04,94.37766,5.444865
Hunan-Ev,2025.01.22.08,2.3594415,0.0
Hunan-Ev,2025.01.22.12,342.11901750000004,111.80122800000001
Hunan-Ev,2025.01.22.16,2335.847085,319.43208000000004
Hunan-Ev,2025.01.22.20,1741.2678270000001,294.02271
Hunan-Ev,2025.02.08.00,1288.255059,5.807856
Hunan-Ev,2025.02.08.04,94.37766,1.088973
Hunan-Ev,2025.02.08.08,2.3594415,239.57406
Hunan-Ev,2025.02.08.12,342.11901750000004,111.80122800000001
Hunan-Ev,2025.02.08.16,2335.847085,79.85802000000001
Hunan-Ev,2025.02.08.20,1741.2678270000001,294.02271
Hunan-Ev,2025.03.21.00,1288.255059,8.711784
Hunan-Ev,2025.03.21.04,94.37766,8.711784
Hunan-Ev,2025.03.21.08,2.3594415,0.0
Hunan-Ev,2025.03.21.12,342.11901750000004,139.751535
Hunan-Ev,2025.03.21.16,2335.847085,319.43208000000004
Hunan-Ev,2025.03.21.20,1741.2678270000001,176.413626
Hunan-Ev,2025.04.11.00,1288.255059,8.711784
Hunan-Ev,2025.04.11.04,94.37766,6.533837999999999
Hunan-Ev,2025.04.11.08,2.3594415,598.93515
Hunan-Ev,2025.04.11.12,342.11901750000004,223.60245600000002
Hunan-Ev,2025.04.11.16,2335.847085,399.29010000000005
Hunan-Ev,2025.04.11.20,1741.2678270000001,294.02271
Hunan-Ev,2025.05.22.00,1288.255059,7.2598199999999995
Hunan-Ev,2025.05.22.04,94.37766,4.355892
Hunan-Ev,2025.05.22.08,2.3594415,419.25460499999997
Hunan-Ev,2025.05.22.12,342.11901750000004,139.751535
Hunan-Ev,2025.05.22.16,2335.847085,359.36109000000005
Hunan-Ev,2025.05.22.20,1741.2678270000001,29.402271
Hunan-Ev,2025.06.16.00,1288.255059,1.451964
Hunan-Ev,2025.06.16.04,94.37766,2.177946
Hunan-Ev,2025.06.16.08,2.3594415,479.14812
Hunan-Ev,2025.06.16.12,342.11901750000004,195.652149
Hunan-Ev,2025.06.16.16,2335.847085,319.43208000000004
Hunan-Ev,2025.06.16.20,1741.2678270000001,205.815897
Hunan-Ev,2025.07.22.00,1288.255059,14.519639999999999
Hunan-Ev,2025.07.22.04,94.37766,3.2669189999999997
Hunan-Ev,2025.07.22.08,2.3594415,239.57406
Hunan-Ev,2025.07.22.12,342.11901750000004,167.701842
Hunan-Ev,2025.07.22.16,2335.847085,399.29010000000005
Hunan-Ev,2025.07.22.20,1741.2678270000001,147.011355
Hunan-Ev,2025.08.19.00,1288.255059,14.519639999999999
Hunan-Ev,2025.08.19.04,94.37766,7.622811
Hunan-Ev,2025.08.19.08,2.3594415,299.467575
Hunan-Ev,2025.08.19.12,342.11901750000004,55.900614000000004
Hunan-Ev,2025.08.19.16,2335.847085,399.29010000000005
Hunan-Ev,2025.08.19.20,1741.2678270000001,176.413626
Hunan-Ev,2025.09.20.00,1288.255059,5.807856
Hunan-Ev,2025.09.20.04,94.37766,10.88973
Hunan-Ev,2025.09.20.08,2.3594415,359.36109
Hunan-Ev,2025.09.20.12,342.11901750000004,251.552763
Hunan-Ev,2025.09.20.16,2335.847085,199.64505000000003
Hunan-Ev,2025.09.20.20,1741.2678270000001,294.02271
