GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Anhui-PV-2022,2025.05.22.04,0.0
Anhui-PV-2022,2025.05.22.08,0.2850324285714286
Anhui-PV-2022,2025.05.22.12,0.5826561428571428
Anhui-PV-2022,2025.05.22.16,0.19772314285714288
Anhui-PV-2022,2025.05.22.20,0.0
Anhui-PV-2022,2025.06.16.00,0.0
Anhui-PV-2022,2025.06.16.04,0.0
Anhui-PV-2022,2025.06.16.08,0.3843984285714286
Anhui-PV-2022,2025.06.16.12,0.6159861428571428
Anhui-PV-2022,2025.06.16.16,0.23221842857142858
Anhui-PV-2022,2025.06.16.20,0.0
Anhui-PV-2022,2025.07.22.00,0.0
Anhui-PV-2022,2025.07.22.04,0.0
Anhui-PV-2022,2025.07.22.08,0.22152342857142857
Anhui-PV-2022,2025.07.22.12,0.4788651428571429
Anhui-PV-2022,2025.07.22.16,0.24382371428571428
Anhui-PV-2022,2025.07.22.20,0.0
Anhui-PV-2022,2025.08.19.00,0.0
Anhui-PV-2022,2025.08.19.04,0.0
Anhui-PV-2022,2025.08.19.08,0.09682661428571428
Anhui-PV-2022,2025.08.19.12,0.25183171428571427
Anhui-PV-2022,2025.08.19.16,0.08743247142857144
Anhui-PV-2022,2025.08.19.20,0.0
Anhui-PV-2022,2025.09.20.00,0.0
Anhui-PV-2022,2025.09.20.04,0.0
Anhui-PV-2022,2025.09.20.08,0.2978082285714286
Anhui-PV-2022,2025.09.20.12,0.6711967142857143
Anhui-PV-2022,2025.09.20.16,0.17267314285714286
Anhui-PV-2022,2025.09.20.20,0.0
Anhui-PV-2022,2025.10.26.00,0.0
Anhui-PV-2022,2025.10.26.04,0.0
Anhui-PV-2022,2025.10.26.08,0.34752228571428573
Anhui-PV-2022,2025.10.26.12,0.6808069999999999
Anhui-PV-2022,2025.10.26.16,0.09922752857142857
Anhui-PV-2022,2025.10.26.20,0.0
Anhui-PV-2022,2025.11.19.00,0.0
Anhui-PV-2022,2025.11.19.04,0.0
Anhui-PV-2022,2025.11.19.08,0.053793128571428574
