load_zone,TIMEPOINT,zone_demand_mw
Sichuan,2025.01.22.12,86638.630920793
Tianjin,2025.01.22.12,36639.5237453288
Tibet,2025.01.22.12,1761.835144901342
West_Inner_Mongolia,2025.01.22.12,61810.0230573508
Xinjiang,2025.01.22.12,43046.3990828942
Yunnan,2025.01.22.12,52867.3821678932
Zhejiang,2025.01.22.12,127425.7326394604
Anhui,2025.01.22.16,58114.1263974832
Beijing,2025.01.22.16,40565.8958616092
Chongqing,2025.01.22.16,37131.3817035428
East_Inner_Mongolia,2025.01.22.16,23525.6847291256
Fujian,2025.01.22.16,60602.8461713888
Gansu,2025.01.22.16,39938.053739729
Guangdong,2025.01.22.16,154786.2171226758
Guangxi,2025.01.22.16,53920.5122979472
Guizhou,2025.01.22.16,45842.164245173
Hainan,2025.01.22.16,7891.5941317742
Hebei,2025.01.22.16,190621.8319842776
Heilongjiang,2025.01.22.16,39086.7238736154
Henan,2025.01.22.16,136394.8604244646
Hubei,2025.01.22.16,76286.4622431562
Hunan,2025.01.22.16,67070.6395290238
Jiangsu,2025.01.22.16,194209.8708860396
Jiangxi,2025.01.22.16,34445.992286277
Jilin,2025.01.22.16,33742.4016548888
Liaoning,2025.01.22.16,92235.5408126016
Ningxia,2025.01.22.16,26486.9911571062
Qinghai,2025.01.22.16,20495.250295759
Shaanxi,2025.01.22.16,55244.4892203022
Shandong,2025.01.22.16,169045.5126925102
Shanghai,2025.01.22.16,68371.0315421172
Shanxi,2025.01.22.16,86649.2026413584
Sichuan,2025.01.22.16,88408.784567555
Tianjin,2025.01.22.16,37210.4730648502
Tibet,2025.01.22.16,1639.176546460314
West_Inner_Mongolia,2025.01.22.16,61823.985200503
Xinjiang,2025.01.22.16,42700.3880459774
Yunnan,2025.01.22.16,50455.4397891476
Zhejiang,2025.01.22.16,137423.080787579
Anhui,2025.01.22.20,60956.0757538218
Beijing,2025.01.22.20,39811.4679317824
Chongqing,2025.01.22.20,33970.1219857154
East_Inner_Mongolia,2025.01.22.20,24496.8433011872
Fujian,2025.01.22.20,58553.5276738472
Gansu,2025.01.22.20,40838.0935034504
Guangdong,2025.01.22.20,142609.990052801
Guangxi,2025.01.22.20,53253.1993852776
Guizhou,2025.01.22.20,50248.9900197592
Hainan,2025.01.22.20,8672.76367417974
Hebei,2025.01.22.20,129144.9302051704
Heilongjiang,2025.01.22.20,38672.0964436188
Henan,2025.01.22.20,131237.7930188704
Hubei,2025.01.22.20,71501.6016490496
Hunan,2025.01.22.20,68891.3165099526
Jiangsu,2025.01.22.20,188110.2859433354
Jiangxi,2025.01.22.20,34618.12574343
Jilin,2025.01.22.20,32828.847713153
Liaoning,2025.01.22.20,90305.4626030172
Ningxia,2025.01.22.20,28267.3951854206
Qinghai,2025.01.22.20,20322.6113922458
Shaanxi,2025.01.22.20,53646.3778271484
Shandong,2025.01.22.20,158615.2207210166
Shanghai,2025.01.22.20,63218.850466114
Shanxi,2025.01.22.20,90551.4763302078
Sichuan,2025.01.22.20,80599.6248762286
Tianjin,2025.01.22.20,34168.4111925692
Tibet,2025.01.22.20,1707.503265500848
West_Inner_Mongolia,2025.01.22.20,63204.248972659
Xinjiang,2025.01.22.20,43575.7677737742
Yunnan,2025.01.22.20,52467.0611944658
Zhejiang,2025.01.22.20,122034.3912464686
Anhui,2025.02.08.00,47609.0153506016
Beijing,2025.02.08.00,24082.0881662292
Chongqing,2025.02.08.00,29140.277046876
East_Inner_Mongolia,2025.02.08.00,20366.494384533
Fujian,2025.02.08.00,43260.2249866148
Gansu,2025.02.08.00,35126.225606011
Guangdong,2025.02.08.00,99698.4152902394
Guangxi,2025.02.08.00,38395.9099015924
Guizhou,2025.02.08.00,35501.4277736512
Hainan,2025.02.08.00,7963.4450634131
Hebei,2025.02.08.00,129404.2476179738
Heilongjiang,2025.02.08.00,27469.1931222736
Henan,2025.02.08.00,112964.0374209746
Hubei,2025.02.08.00,60469.4419668154
Hunan,2025.02.08.00,62152.5366284096
Jiangsu,2025.02.08.00,136878.1795767438
Jiangxi,2025.02.08.00,26897.8226254858
Jilin,2025.02.08.00,23341.92779136
Liaoning,2025.02.08.00,77355.5023338584
Ningxia,2025.02.08.00,24307.805738851
Qinghai,2025.02.08.00,20763.3674749822
Shaanxi,2025.02.08.00,41815.716521332
Shandong,2025.02.08.00,142602.3940035192
Shanghai,2025.02.08.00,44497.3571733896
Shanxi,2025.02.08.00,72173.462073357
Sichuan,2025.02.08.00,61200.8089035298
Tianjin,2025.02.08.00,23369.3286456544
Tibet,2025.02.08.00,1020.89923035412
West_Inner_Mongolia,2025.02.08.00,58786.5244800518
Xinjiang,2025.02.08.00,41444.9139775792
Yunnan,2025.02.08.00,29503.0243413768
Zhejiang,2025.02.08.00,79245.3587580088
Anhui,2025.02.08.04,40829.2429753806
Beijing,2025.02.08.04,21032.1134011106
Chongqing,2025.02.08.04,23502.3930134074
East_Inner_Mongolia,2025.02.08.04,19660.4881833305
Fujian,2025.02.08.04,39245.428342253
Gansu,2025.02.08.04,33393.4105347188
Guangdong,2025.02.08.04,86804.266769774
Guangxi,2025.02.08.04,32705.736767105
Guizhou,2025.02.08.04,31158.6579049338
Hainan,2025.02.08.04,6595.26244765928
Hebei,2025.02.08.04,112699.8510895978
Heilongjiang,2025.02.08.04,26362.4617372806
Henan,2025.02.08.04,101505.8275844798
Hubei,2025.02.08.04,54552.7404439094
Hunan,2025.02.08.04,47663.2121516792
Jiangsu,2025.02.08.04,125884.7336601612
Jiangxi,2025.02.08.04,24206.5205982294
Jilin,2025.02.08.04,22031.070450064
Liaoning,2025.02.08.04,71760.4568375368
Ningxia,2025.02.08.04,23437.5476434358
Qinghai,2025.02.08.04,20438.2550544158
Shaanxi,2025.02.08.04,35100.420999258
Shandong,2025.02.08.04,130276.0419868154
Shanghai,2025.02.08.04,38745.0955630236
