,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
Gansu-Hydro_Nonpumped-2022,2025.02.08,1195.2209166047794,2390.4418332095565
Gansu-Hydro_Nonpumped-2022,2025.03.21,1263.034887656966,2526.069775313932
Gansu-Hydro_Nonpumped-2022,2025.04.11,1890.3139497896875,3780.627899579375
Gansu-Hydro_Nonpumped-2022,2025.05.22,2853.837200006158,5707.67440001233
Gansu-Hydro_Nonpumped-2022,2025.06.16,3447.209310632796,6894.418621265578
Gansu-Hydro_Nonpumped-2022,2025.07.22,4607.279999999999,9214.559999999998
Gansu-Hydro_Nonpumped-2022,2025.08.19,4577.441855322556,9154.883710645112
Gansu-Hydro_Nonpumped-2022,2025.09.20,4607.279999999999,9214.559999999998
Gansu-Hydro_Nonpumped-2022,2025.10.26,3984.069778715932,7968.139557431864
Gansu-Hydro_Nonpumped-2022,2025.11.19,2396.0930314839093,4792.1860629678185
Gansu-Hydro_Nonpumped-2022,2025.12.16,1497.5581531824432,2995.1163063648864
Guangdong-Hydro_Nonpumped-2022,2025.01.22,1126.9579363607158,2253.9158727214317
Guangdong-Hydro_Nonpumped-2022,2025.02.08,1189.6671824773534,2379.33436495471
Guangdong-Hydro_Nonpumped-2022,2025.03.21,1556.8782187393674,3113.756437478749
Guangdong-Hydro_Nonpumped-2022,2025.04.11,2802.621953193391,5605.243906386796
Guangdong-Hydro_Nonpumped-2022,2025.05.22,5356.81871877561,10713.63743755122
Guangdong-Hydro_Nonpumped-2022,2025.06.16,8782.915538967403,17565.831077934836
Guangdong-Hydro_Nonpumped-2022,2025.07.22,9034.440000000002,18068.880000000005
Guangdong-Hydro_Nonpumped-2022,2025.08.19,8284.256214988443,16568.51242997686
Guangdong-Hydro_Nonpumped-2022,2025.09.20,5207.281246837833,10414.562493675667
Guangdong-Hydro_Nonpumped-2022,2025.10.26,3120.389131618713,6240.778263237439
Guangdong-Hydro_Nonpumped-2022,2025.11.19,2217.134453950827,4434.268907901654
Guangdong-Hydro_Nonpumped-2022,2025.12.16,1382.618767325705,2765.237534651416
Guangxi-Hydro_Nonpumped-2022,2025.01.22,1072.3954281055935,2144.7908562111834
Guangxi-Hydro_Nonpumped-2022,2025.02.08,1131.64378154562,2263.287563091248
Guangxi-Hydro_Nonpumped-2022,2025.03.21,1481.2091245520546,2962.4182491041133
Guangxi-Hydro_Nonpumped-2022,2025.04.11,2666.176481903971,5332.352963807962
Guangxi-Hydro_Nonpumped-2022,2025.05.22,5095.35945386404,10190.718907728098
Guangxi-Hydro_Nonpumped-2022,2025.06.16,8354.019614443983,16708.039228887967
Guangxi-Hydro_Nonpumped-2022,2025.07.22,8593.62,17187.24
Guangxi-Hydro_Nonpumped-2022,2025.08.19,7880.032690739972,15760.065381479944
Guangxi-Hydro_Nonpumped-2022,2025.09.20,4953.163395989606,9906.326791979212
Guangxi-Hydro_Nonpumped-2022,2025.10.26,2968.343122921637,5936.686245843255
Guangxi-Hydro_Nonpumped-2022,2025.11.19,2109.2418056736433,4218.483611347306
Guangxi-Hydro_Nonpumped-2022,2025.12.16,1315.3137156832215,2630.6274313664503
Guizhou-Hydro_Nonpumped-2022,2025.01.22,1600.9577039051562,3201.915407810317
