ELECRRIC_VEHICLE_TIMEPOINTS_1,ELECRRIC_VEHICLE_TIMEPOINTS_2,StateOfChargeOfEV
Henan-Ev,2025.06.16.20,11716.474000000002
Henan-Ev,2025.07.22.00,13945.962934000001
Henan-Ev,2025.07.22.04,13925.877550000001
Henan-Ev,2025.07.22.08,11716.485310000002
Henan-Ev,2025.07.22.12,11716.474000000002
Henan-Ev,2025.07.22.16,11716.474000000002
Henan-Ev,2025.07.22.20,11716.474000000002
Henan-Ev,2025.08.19.00,15084.123384000004
Henan-Ev,2025.08.19.04,14993.739156000003
Henan-Ev,2025.08.19.08,12231.998856000002
Henan-Ev,2025.08.19.12,11716.474000000002
Henan-Ev,2025.08.19.16,11716.474000000002
Henan-Ev,2025.08.19.20,11716.474000000002
Henan-Ev,2025.09.20.00,11973.650604300003
Henan-Ev,2025.09.20.04,12800.498912300003
Henan-Ev,2025.09.20.08,11716.474000000002
Henan-Ev,2025.09.20.12,11716.474000000002
Henan-Ev,2025.09.20.16,11716.474000000002
Henan-Ev,2025.09.20.20,11716.474000000002
Henan-Ev,2025.10.26.00,15683.337340000002
Henan-Ev,2025.10.26.04,15582.910420000002
Henan-Ev,2025.10.26.08,11716.474000000002
Henan-Ev,2025.10.26.12,13925.866240000001
Henan-Ev,2025.10.26.16,11716.474000000002
Henan-Ev,2025.10.26.20,15362.280720459778
Henan-Ev,2025.11.19.00,14304.140972000001
Henan-Ev,2025.11.19.04,15030.562360000002
Henan-Ev,2025.11.19.08,11716.474000000002
Henan-Ev,2025.11.19.12,14713.799116500002
Henan-Ev,2025.11.19.16,12504.406876500003
Henan-Ev,2025.11.19.20,11716.474000000002
Henan-Ev,2025.12.16.00,14547.927320299968
Henan-Ev,2025.12.16.04,14457.543092299968
Henan-Ev,2025.12.16.08,11716.473999999967
Henan-Ev,2025.12.16.12,14198.274260499968
Henan-Ev,2025.12.16.16,13461.732960499967
Henan-Ev,2025.12.16.20,12919.427592499967
Hubei-Ev,2025.01.22.00,6201.037816800001
Hubei-Ev,2025.01.22.04,6577.930808800001
Hubei-Ev,2025.01.22.08,5542.544000000001
Hubei-Ev,2025.01.22.12,6106.893748
Hubei-Ev,2025.01.22.16,5542.544000000001
Hubei-Ev,2025.01.22.20,5542.544000000001
Hubei-Ev,2025.02.08.00,5542.544000000001
