GEN_TPS_1,GEN_TPS_2,DispatchGen
Anhui-Central_PV-2022,2025.11.19.20,0.0
Anhui-Central_PV-2022,2025.12.16.00,0.0
Anhui-Central_PV-2022,2025.12.16.04,0.0
Anhui-Central_PV-2022,2025.12.16.08,3297.590703866667
Anhui-Central_PV-2022,2025.12.16.12,4977.039851466667
Anhui-Central_PV-2022,2025.12.16.16,1137.7232619200001
Anhui-Central_PV-2022,2025.12.16.20,0.0
Anhui-Coal-2022,2025.01.22.00,43377.706505406364
Anhui-Coal-2022,2025.01.22.04,36148.088754505305
Anhui-Coal-2022,2025.01.22.08,41613.24629380742
Anhui-Coal-2022,2025.01.22.12,41215.244028372166
Anhui-Coal-2022,2025.01.22.16,46953.47749352309
Anhui-Coal-2022,2025.01.22.20,49098.01343349329
Anhui-Coal-2022,2025.02.08.00,30761.724545040866
Anhui-Coal-2022,2025.02.08.04,20838.587595027682
Anhui-Coal-2022,2025.02.08.08,20739.37919040819
Anhui-Coal-2022,2025.02.08.12,29160.677334297125
Anhui-Coal-2022,2025.02.08.16,39378.877334297125
Anhui-Coal-2022,2025.02.08.20,40979.92454504086
Anhui-Coal-2022,2025.03.21.00,35601.429013934685
Anhui-Coal-2022,2025.03.21.04,29193.81973675727
Anhui-Coal-2022,2025.03.21.08,31139.97784620233
Anhui-Coal-2022,2025.03.21.12,32921.58121704471
Anhui-Coal-2022,2025.03.21.16,41033.83862743707
Anhui-Coal-2022,2025.03.21.20,40015.82418223405
Anhui-Coal-2022,2025.04.11.00,32924.615690903316
Anhui-Coal-2022,2025.04.11.04,27437.17974241943
Anhui-Coal-2022,2025.04.11.08,25369.13958934544
Anhui-Coal-2022,2025.04.11.12,31711.4244866818
Anhui-Coal-2022,2025.04.11.16,39459.539547828856
Anhui-Coal-2022,2025.04.11.20,38685.84625575118
Anhui-Coal-2022,2025.05.22.00,20175.630970005695
Anhui-Coal-2022,2025.05.22.04,13667.362915165148
Anhui-Coal-2022,2025.05.22.08,9258.536168337681
Anhui-Coal-2022,2025.05.22.12,17675.38723046285
Anhui-Coal-2022,2025.05.22.16,27893.58723046285
