PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2023,EmissionsCosts,annual,85327620020.16406,58120679375.40753
2023,FuelCostsPerTP,timepoint,286487935898.9666,195140488664.41278
2023,GenVariableOMCostsInTP,timepoint,28243400059.502705,19237916151.20413
2023,LocalTDFixedCosts,annual,123279103057.16463,83971230192.28812
2023,SpinReserveCostsInTP,timepoint,6695208460.914459,4560423274.625126
2023,StaVariableOMCosts,timepoint,18757823.63330362,12776841.225784205
2023,StorageEnergyFixedCost,annual,5620467840.698104,3828366585.5418
2023,StrFixedOMCosts,annual,775531313.1514941,528251072.59074
2023,StrVariableOMCostsInTP,timepoint,0.0,0.0
2023,TotalGenFixedCosts,annual,325894666301.67554,221982277318.86874
2023,TotalStaFixedCosts,annual,231060970.3549252,157386559.83836886
2023,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2023,TxFixedCapitalCosts,annual,44918163225.3375,30595886330.066692
2023,TxFixedOMCosts,annual,13030230380.277733,8875506453.137337
2023,VariableCost,timepoint,0.0,0.0
