GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
Shandong-Nuclear-2022,2022,2500.0
Shandong-PV-2022,2022,30200.0
Shandong-Wind-2022,2022,23020.0
Shanghai-Central_PV-2022,2022,240.0
Shanghai-Coal-2022,2022,14990.0
Shanghai-Gas-2022,2022,8150.0
Shanghai-PV-2022,2022,1710.0
Shanghai-Wind-2022,2022,1070.0
Shanxi-Central_PV-2022,2022,12570.0
Shanxi-Coal-2022,2022,71040.0
Shanxi-Gas-2022,2022,3550.0
Shanxi-Hydro_Nonpumped-2022,2022,2240.0
Shanxi-PV-2022,2022,4390.0
Shanxi-Wind-2022,2022,23080.0
Sichuan-Central_PV-2022,2022,1730.0
Sichuan-Coal-2022,2022,13780.0
Sichuan-Gas-2022,2022,1450.0
Sichuan-Hydro_Nonpumped-2022,2022,97490.0
Sichuan-PV-2022,2022,330.0
Sichuan-Wind-2022,2022,5980.0
Tianjin-Central_PV-2022,2022,1220.0
Tianjin-Coal-2022,2022,12380.0
Tianjin-Gas-2022,2022,5610.0
Tianjin-Hydro_Nonpumped-2022,2022,10.0
Tianjin-PV-2022,2022,990.0
Tianjin-Wind-2022,2022,1450.0
Tibet-Central_PV-2022,2022,1760.0
Tibet-Hydro_Nonpumped-2022,2022,2920.0
Tibet-PV-2022,2022,20.0
Tibet-Wind-2022,2022,30.0
West_Inner_Mongolia-Central_PV-2022,2022,14300.0
West_Inner_Mongolia-Coal-2022,2022,102050.0
West_Inner_Mongolia-Gas-2022,2022,420.0
West_Inner_Mongolia-Hydro_Nonpumped-2022,2022,2410.0
West_Inner_Mongolia-PV-2022,2022,1210.0
West_Inner_Mongolia-Wind-2022,2022,45480.0
Xinjiang-Central_PV-2022,2022,15460.0
Xinjiang-Coal-2022,2022,66310.0
Xinjiang-Gas-2022,2022,1260.0
Xinjiang-Hydro_Nonpumped-2022,2022,9570.0
Xinjiang-PV-2022,2022,270.0
Xinjiang-Wind-2022,2022,26140.0
Yunnan-Central_PV-2022,2022,5250.0
Yunnan-Coal-2022,2022,12980.0
Yunnan-Gas-2022,2022,30.0
Yunnan-Hydro_Nonpumped-2022,2022,81120.0
Yunnan-PV-2022,2022,600.0
Yunnan-Wind-2022,2022,9120.0
Zhejiang-Central_PV-2022,2022,6130.0
Zhejiang-Coal-2022,2022,48040.0
Zhejiang-Gas-2022,2022,13280.0
Zhejiang-Hydro_Nonpumped-2022,2022,13840.0
Zhejiang-Nuclear-2022,2022,9130.0
Zhejiang-PV-2022,2022,19260.0
Zhejiang-Wind-2022,2022,4230.0
Anhui-Central_PV-2023,2023,0.0
Anhui-Coal-2023,2023,0.0
Anhui-Gas-2023,2023,0.0
Anhui-Nuclear-2023,2023,940.0
Anhui-PV-2023,2023,0.0
Anhui-Wind-2023,2023,0.0
Beijing-Central_PV-2023,2023,7048.72388297836
Beijing-Coal-2023,2023,10271.729929314171
Beijing-Gas-2023,2023,0.0
Beijing-Nuclear-2023,2023,0.0
Beijing-PV-2023,2023,0.0
Beijing-Wind-2023,2023,0.0
Chongqing-Central_PV-2023,2023,0.0
Chongqing-Coal-2023,2023,0.0
Chongqing-Gas-2023,2023,0.0
Chongqing-Nuclear-2023,2023,0.0
Chongqing-PV-2023,2023,0.0
Chongqing-Wind-2023,2023,0.0
East_Inner_Mongolia-Central_PV-2023,2023,0.0
East_Inner_Mongolia-Coal-2023,2023,0.0
East_Inner_Mongolia-Gas-2023,2023,0.0
East_Inner_Mongolia-Nuclear-2023,2023,0.0
East_Inner_Mongolia-PV-2023,2023,0.0
East_Inner_Mongolia-Wind-2023,2023,0.0
Fujian-Central_PV-2023,2023,10961.593806832758
Fujian-Coal-2023,2023,0.0
Fujian-Gas-2023,2023,0.0
Fujian-Nuclear-2023,2023,0.0
Fujian-PV-2023,2023,0.0
Fujian-Wind-2023,2023,0.0
Gansu-Central_PV-2023,2023,0.0
Gansu-Coal-2023,2023,0.0
Gansu-Gas-2023,2023,0.0
Gansu-Nuclear-2023,2023,0.0
Gansu-PV-2023,2023,0.0
Gansu-Wind-2023,2023,0.0
Guangdong-Central_PV-2023,2023,42635.09951345928
Guangdong-Coal-2023,2023,0.0
Guangdong-Gas-2023,2023,0.0
Guangdong-Nuclear-2023,2023,0.0
Guangdong-PV-2023,2023,0.0
Guangdong-Wind-2023,2023,0.0
Guangxi-Central_PV-2023,2023,0.0
Guangxi-Coal-2023,2023,0.0
Guangxi-Gas-2023,2023,0.0
Guangxi-Nuclear-2023,2023,0.0
Guangxi-PV-2023,2023,0.0
Guangxi-Wind-2023,2023,0.0
Guizhou-Central_PV-2023,2023,0.0
Guizhou-Coal-2023,2023,0.0
Guizhou-Gas-2023,2023,0.0
Guizhou-Nuclear-2023,2023,0.0
Guizhou-PV-2023,2023,0.0
Guizhou-Wind-2023,2023,0.0
Hainan-Central_PV-2023,2023,569.7382656994912
Hainan-Coal-2023,2023,0.0
Hainan-Gas-2023,2023,0.0
Hainan-Nuclear-2023,2023,0.0
Hainan-PV-2023,2023,0.0
Hainan-Wind-2023,2023,3592.7985527205587
Hebei-Central_PV-2023,2023,0.0
Hebei-Coal-2023,2023,1094.5223820688175
Hebei-Gas-2023,2023,0.0
Hebei-Nuclear-2023,2023,0.0
Hebei-PV-2023,2023,43963.46225151062
Hebei-Wind-2023,2023,0.0
Heilongjiang-Central_PV-2023,2023,6281.006069047459
Heilongjiang-Coal-2023,2023,0.0
Heilongjiang-Gas-2023,2023,0.0
Heilongjiang-Nuclear-2023,2023,0.0
Heilongjiang-PV-2023,2023,0.0
Heilongjiang-Wind-2023,2023,0.0
Henan-Central_PV-2023,2023,0.0
Henan-Coal-2023,2023,0.0
Henan-Gas-2023,2023,0.0
Henan-Nuclear-2023,2023,0.0
Henan-PV-2023,2023,0.0
Henan-Wind-2023,2023,0.0
Hubei-Central_PV-2023,2023,0.0
Hubei-Coal-2023,2023,0.0
Hubei-Gas-2023,2023,0.0
Hubei-Nuclear-2023,2023,1880.0
Hubei-PV-2023,2023,0.0
Hubei-Wind-2023,2023,0.0
Hunan-Central_PV-2023,2023,0.0
Hunan-Coal-2023,2023,0.0
Hunan-Gas-2023,2023,0.0
Hunan-Nuclear-2023,2023,2820.0
Hunan-PV-2023,2023,0.0
Hunan-Wind-2023,2023,0.0
Jiangsu-Central_PV-2023,2023,0.0
Jiangsu-Coal-2023,2023,0.0
Jiangsu-Gas-2023,2023,0.0
Jiangsu-Nuclear-2023,2023,-3.637978807091713e-12
Jiangsu-PV-2023,2023,4969.223853958407
Jiangsu-Wind-2023,2023,0.0
Jiangxi-Central_PV-2023,2023,0.0
Jiangxi-Coal-2023,2023,0.0
Jiangxi-Gas-2023,2023,0.0
Jiangxi-Nuclear-2023,2023,1410.0
Jiangxi-PV-2023,2023,0.0
Jiangxi-Wind-2023,2023,0.0
Jilin-Central_PV-2023,2023,0.0
Jilin-Coal-2023,2023,0.0
Jilin-Gas-2023,2023,0.0
Jilin-Nuclear-2023,2023,0.0
Jilin-PV-2023,2023,0.0
Jilin-Wind-2023,2023,0.0
Liaoning-Central_PV-2023,2023,0.0
Liaoning-Coal-2023,2023,0.0
Liaoning-Gas-2023,2023,0.0
Liaoning-Nuclear-2023,2023,0.0
Liaoning-PV-2023,2023,0.0
Liaoning-Wind-2023,2023,0.0
Ningxia-Central_PV-2023,2023,0.0
Ningxia-Coal-2023,2023,0.0
Ningxia-Gas-2023,2023,0.0
Ningxia-Nuclear-2023,2023,0.0
Ningxia-PV-2023,2023,0.0
Ningxia-Wind-2023,2023,0.0
Qinghai-Central_PV-2023,2023,0.0
Qinghai-Coal-2023,2023,0.0
